name,affiliation,homepage,scholarid
C. Christina Mehta,Emory University,,NOSCHOLARPAGE
C. Deniz Yenigün,Istanbul Bilgi University,,NOSCHOLARPAGE
C. Prem Sankar,University of Kerala,,NOSCHOLARPAGE
C. S. Shaijumon,Indian Institute of Space Science and Technology,,NOSCHOLARPAGE
Cai Fu,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Caitlin E. Hughes,UNSW,,NOSCHOLARPAGE
Caitlin Porter,Purdue University,,NOSCHOLARPAGE
Caiwei Yuan,Harbin Institute of Technology,,NOSCHOLARPAGE
Camellia Sarkar,IIT Indore,,NOSCHOLARPAGE
Camille Roth,CNRS,,NOSCHOLARPAGE
Carl A. Latkin,Johns Hopkins University,,NOSCHOLARPAGE
Carl Nordlund,Linköping University,,NOSCHOLARPAGE
Carlene Wilson,Flinders University,,NOSCHOLARPAGE
Carlo Lipizzi,Stevens Institute of Technology,,NOSCHOLARPAGE
Carlo Morselli,University of Montreal,,NOSCHOLARPAGE
Carlo Piccardi,Politecnico di Milano,,NOSCHOLARPAGE
Carlos Lozares,Autonomous University of Barcelona,,NOSCHOLARPAGE
Carmen Ramos Carvajal,University of Oviedo,,NOSCHOLARPAGE
Carol Lynn Martin,Arizona State University,,NOSCHOLARPAGE
Carol Xiaojuan Ou,Tilburg University,,NOSCHOLARPAGE
Caroline Acker,Carnegie Mellon University,,NOSCHOLARPAGE
Carolyn J. Anderson,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Carter T. Butts,University of California - Irvine,,NOSCHOLARPAGE
Cassie McMillan,Pennsylvania State University,,NOSCHOLARPAGE
Caterina Giannetti,University of Bologna,,NOSCHOLARPAGE
Catherine A. Calder,Ohio State University,,NOSCHOLARPAGE
Catherine Riegle-Crumb,University of Texas at Austin,,NOSCHOLARPAGE
Catherine T. Shea,Carnegie Mellon University,,NOSCHOLARPAGE
Catholijn M. Jonker,Leiden University,,NOSCHOLARPAGE
Cécile Emery,London School of Economics and Political Science,,NOSCHOLARPAGE
Cecilia Menjívar,University of Kansas,,NOSCHOLARPAGE
Ceyhun Eksin,Georgia Institute of Technology,,NOSCHOLARPAGE
Chaitanya Shivade,Amazon Inc.,,NOSCHOLARPAGE
Chamil Kulatunga,University College Dublin,,NOSCHOLARPAGE
Chandra Muller,University of Texas at Austin,,NOSCHOLARPAGE
Changbing Tang,Zhejiang Normal University,,NOSCHOLARPAGE
Changjun Jiang,Tongji University,,NOSCHOLARPAGE
Changqi Wang,Tongji University,,NOSCHOLARPAGE
Changqing Luo,Virginia Commonwealth University,,NOSCHOLARPAGE
Chao Chen 0015,Deakin University,,NOSCHOLARPAGE
Chao Liang,York University,,NOSCHOLARPAGE
Chaochao Li,Zhengzhou University,,NOSCHOLARPAGE
Chaodong Wang,Tongji University,,NOSCHOLARPAGE
