name,affiliation,homepage,scholarid
D. Wayne Osgood,Pennsylvania State University,,NOSCHOLARPAGE
Daiyu Huang,Donghua University,,NOSCHOLARPAGE
Dali Ma,Drexel University,,NOSCHOLARPAGE
Damian A. Tamburri,Eindhoven University of Technology,,NOSCHOLARPAGE
Damla Turgut,University of Central Florida,,NOSCHOLARPAGE
Dan Braha,New England Complex Systems Institute,,NOSCHOLARPAGE
Dan J. Wang,Stanford University,,NOSCHOLARPAGE
Dan Tao,Beijing Jiaotong University,,NOSCHOLARPAGE
Dan Zhang 0001,Zhejiang University,,NOSCHOLARPAGE
Dana L. Haynie,Ohio State University,,NOSCHOLARPAGE
Danching Ruan,Hong Kong Baptist University,,NOSCHOLARPAGE
Daniel A. McFarland,Stanford University,,NOSCHOLARPAGE
Daniel A. Newman,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Daniel Danner,University of Applied Labour Studies,,NOSCHOLARPAGE
Daniel DellaPosta,Cornell University,,NOSCHOLARPAGE
Daniel Diermeier,University of Chicago,,NOSCHOLARPAGE
Daniel Franzmann,Goethe University Frankfurt,,NOSCHOLARPAGE
Daniel Gatica-Perez,EPFL,,NOSCHOLARPAGE
Daniel J. Brass,University of Kent,,NOSCHOLARPAGE
Daniel K. Sewell,University of Iowa,,NOSCHOLARPAGE
Daniel Lavenu,University of Caen,,NOSCHOLARPAGE
Daniel Maier,Free University,,NOSCHOLARPAGE
Daniel P. Enemark,University of Southern California,,NOSCHOLARPAGE
Daniël Paulusma,Durham University,,NOSCHOLARPAGE
Daniel Riehm,University of Notre Dame,,NOSCHOLARPAGE
Daniel S. Halgin,University of Kent,,NOSCHOLARPAGE
Daniel W. Soto,University of Southern California,,NOSCHOLARPAGE
Daniel W. Stashuk,University of Waterloo,,NOSCHOLARPAGE
Daniel Z. Levin,Rutgers University,,NOSCHOLARPAGE
Daniel Zeng,Chinese Academy of Sciences,,NOSCHOLARPAGE
Daniela Stoltenberg,University of Münster,,NOSCHOLARPAGE
Daniele Bellutta,Dartmouth College,,NOSCHOLARPAGE
Daniele Mascia,University of Bologna,,NOSCHOLARPAGE
Dante Contreras,University of Chile,,NOSCHOLARPAGE
Danupol Hoonsopon,Chulalongkorn University,,NOSCHOLARPAGE
Danwei Liang,Xi'an Jiaotong University,,NOSCHOLARPAGE
Dany Kamuhanda,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Daobing He,Chongqing University,,NOSCHOLARPAGE
Dario Borrelli,Stevens Institute of Technology,,NOSCHOLARPAGE
Dario Gregori,University of Torino,,NOSCHOLARPAGE
Darren C. Treadway,State University of New York at Buffalo,,NOSCHOLARPAGE
Darren M. Scott,McMaster University,,NOSCHOLARPAGE
Darren Scott Appling,Georgia Institute of Technology,,NOSCHOLARPAGE
Darryl Wright,University of Minnesota,,NOSCHOLARPAGE
Darshan Santani,Idiap Research Institute,,NOSCHOLARPAGE
David A. Bright,Flinders University,,NOSCHOLARPAGE
