name,affiliation,homepage,scholarid
F. Marijn Stok,University of Konstanz,,NOSCHOLARPAGE
Fabian Flöck,GESIS - Leibniz Institute for the Social Sciences,,NOSCHOLARPAGE
Fabiana Zollo,IMT School for Advanced Studies,,NOSCHOLARPAGE
Fabio Casati,University of Trento,,NOSCHOLARPAGE
Fabio Pammolli,Politecnico di Milano,,NOSCHOLARPAGE
Fahad Maqbool,University of Sargodha,,NOSCHOLARPAGE
Falk Scholer,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Faming Gong,China University of Petroleum,,NOSCHOLARPAGE
Fang Chen 0001,University of Technology Sydney,,NOSCHOLARPAGE
Fanzhang Li,Soochow University,,NOSCHOLARPAGE
Farshad Salimi Naneh Karan,University of Tennessee,,NOSCHOLARPAGE
Fatima Alba Rendon-Huerta,University of Guanajuato,,NOSCHOLARPAGE
Fatima K. Abu Salem,American University of Beirut,,NOSCHOLARPAGE
Fei Gao,Beijing Normal University,,NOSCHOLARPAGE
Fei Hao,Shaanxi Normal University,,NOSCHOLARPAGE
Fei Tao,Beihang University,,NOSCHOLARPAGE
Fei Yan,Tsinghua University,,NOSCHOLARPAGE
Fei-Yue Wang 0001,Chinese Academy of Sciences,,NOSCHOLARPAGE
Feifei Chen 0001,Deakin University,,NOSCHOLARPAGE
Felicia F. Tian,Fudan University,,NOSCHOLARPAGE
Felix Brünker,University of Duisburg-Essen,,NOSCHOLARPAGE
Felix Reed-Tsochas,University of Oxford,,NOSCHOLARPAGE
Feng Chen 0001,University of Texas at Dallas,,NOSCHOLARPAGE
Feng Li 0001,Indiana University,,NOSCHOLARPAGE
Feng Shi 0005,University of Chicago,,NOSCHOLARPAGE
Feng Wang 0002,Arizona State University,,NOSCHOLARPAGE
Feng Wang 0020,Fujian University of Technology,,NOSCHOLARPAGE
Feng Xia 0001,Federation University Australia,,NOSCHOLARPAGE
Fenghua Zhu,Chinese Academy of Sciences,,NOSCHOLARPAGE
Fengjie Xie,Xi'an Jiaotong University,,NOSCHOLARPAGE
Feniosky Peña-Mora,Columbia University,,NOSCHOLARPAGE
Fenlin Liu,PLA Strategic Support Force Information Engineering University,,NOSCHOLARPAGE
Feras N. Al-Obeidat,Zayed University,,NOSCHOLARPAGE
Filip Agneessens,University of Trento,,NOSCHOLARPAGE
Filip Boen,KU Leuven,,NOSCHOLARPAGE
Flaminio Squazzoni,University of Brescia,,NOSCHOLARPAGE
Florian Daniel,Politecnico di Milano,,NOSCHOLARPAGE
Florian Eßer,University of Hildesheim,,NOSCHOLARPAGE
Florian Maire,University College Dublin,,NOSCHOLARPAGE
Floriana Gargiulo,CNRS,,NOSCHOLARPAGE
Forough Allahbakhshi,Islamic Azad University,,NOSCHOLARPAGE
Foster Amey,Middle Tennessee State University,,NOSCHOLARPAGE
Francesca Grippa,University of Salento,,NOSCHOLARPAGE
Francesca Pallotti,University of Greenwich,,NOSCHOLARPAGE
Francesca Spezzano,Boise State University,,NOSCHOLARPAGE
Francesco Calderoni,Università Cattolica del Sacro Cuore,,NOSCHOLARPAGE
Francis Lee,University of California - Irvine,,NOSCHOLARPAGE
Francis Tuerlinckx,University of Leuven,,NOSCHOLARPAGE
Francisco I. Bastos,Institute of Scientific and Technological Communication & Information in Health,,NOSCHOLARPAGE
Francisco J. Granados,Institut Barcelona d'Estudis Internacionals (IBEI),,NOSCHOLARPAGE
François Grey,University of Geneva,,NOSCHOLARPAGE
Frank Kee,Queen's University Belfast,,NOSCHOLARPAGE
Frank Tutzauer,University at Buffalo,,NOSCHOLARPAGE
Frank W. Takes,University of Amsterdam,,NOSCHOLARPAGE
Frank van Tubergen,Utrecht University,,NOSCHOLARPAGE
Fred Morstatter,USC Information Sciences Institute,,NOSCHOLARPAGE
Frédéric Varone,University of Geneva,,NOSCHOLARPAGE
Fredrik Liljeros,Stockholm University,,NOSCHOLARPAGE
Frits van Merode,Maastricht University,,NOSCHOLARPAGE
Fruzsina Albert,Károli Gáspár University of the Reformed Church,,NOSCHOLARPAGE
Fucai Zhou,Northeastern University,,NOSCHOLARPAGE
Fuji Ren,Tokushima University,,NOSCHOLARPAGE
Fuzhi Zhang,Yanshan University,,NOSCHOLARPAGE
