name,affiliation,homepage,scholarid
Gábor Péli,University of Groningen,,NOSCHOLARPAGE
Gabriel A. Wainer,Carleton University,,NOSCHOLARPAGE
Gabriel Otero,University of Amsterdam,,NOSCHOLARPAGE
Gabriele Plickert,University of Toronto,,NOSCHOLARPAGE
Gaby G. Dagher,Boise State University,,NOSCHOLARPAGE
Gad Yair,The Hebrew University,,NOSCHOLARPAGE
Galina Daraganova,University of Melbourne,,NOSCHOLARPAGE
Gang Kou,Southwestern University of Finance and Economics,,NOSCHOLARPAGE
Gang Liang,McGill University,,NOSCHOLARPAGE
Gang Pan 0001,Zhejiang University,,NOSCHOLARPAGE
Gang Wang 0011,Virginia Tech,,NOSCHOLARPAGE
Gang Xiong 0001,Chinese Academy of Sciences,,NOSCHOLARPAGE
Gaosheng Wu,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Gaoxing Zhao,Dalian University of Technology,,NOSCHOLARPAGE
Gaoyang Liu,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Garry L. Adams,Auburn University,,NOSCHOLARPAGE
Garry Robins,University of Melbourne,,NOSCHOLARPAGE
Garud Iyengar,Columbia University,,NOSCHOLARPAGE
Gary An,University of Chicago,,NOSCHOLARPAGE
Gasper Koren,University of Ljubljana,,NOSCHOLARPAGE
Gaurav Sharma 0009,Lakehead University,,NOSCHOLARPAGE
Gautam Srivastava,Brandon University,,NOSCHOLARPAGE
Gbemisola Adejumo,University of Waterloo,,NOSCHOLARPAGE
Gemma Edwards,University of Manchester,,NOSCHOLARPAGE
Gene A. Shelley,Georgia State University,,NOSCHOLARPAGE
Geoff A. Gross,University at Buffalo,,NOSCHOLARPAGE
Geoff K. Nicholls,University of Oxford,,NOSCHOLARPAGE
Geoffrey P. Morgan,Carnegie Mellon University,,NOSCHOLARPAGE
Georg Wolff,University of Freiburg,,NOSCHOLARPAGE
George A. Barnett,University at Buffalo,,NOSCHOLARPAGE
George B. Davis,Carnegie Mellon University,,NOSCHOLARPAGE
George Berry,Cornell University,,NOSCHOLARPAGE
George Cotsonis,Emory University,,NOSCHOLARPAGE
George Cybenko,Dartmouth College,,NOSCHOLARPAGE
George G. Vega Yon,University of Southern California,,NOSCHOLARPAGE
George Karabatis,University of Maryland - College Park,,NOSCHOLARPAGE
George Leckie,University of Bristol,,NOSCHOLARPAGE
George Loizou,University of London,,NOSCHOLARPAGE
George R. Barnes,University of Louisville,,NOSCHOLARPAGE
George Wood,University of Oxford,,NOSCHOLARPAGE
Georges Linarès,Avignon University,,NOSCHOLARPAGE
Georgios Mantas,University of Greenwich,,NOSCHOLARPAGE
Gerald C. Kane,Boston College,,NOSCHOLARPAGE
Gerald Mollenhorst,Utrecht University,,NOSCHOLARPAGE
Gerardo Garcia,University of Los Andes,,NOSCHOLARPAGE
Gerardo I. Simari,South National University,,NOSCHOLARPAGE
Gerda Claeskens,KU Leuven,,NOSCHOLARPAGE
Gerhard G. Van De Bunt,VU Amsterdam,,NOSCHOLARPAGE
Gerhard Krug,University of Erlangen-Nuremberg,,NOSCHOLARPAGE
Germà Coenders,University of Girona,,NOSCHOLARPAGE
Gerrit Rooks,Eindhoven University of Technology,,NOSCHOLARPAGE
Gert Stulp,Interuniversity Center for Social Science Theory and Methodology,,NOSCHOLARPAGE
Gert Vande Broek,KU Leuven,,NOSCHOLARPAGE
Geyong Min,University of Exeter,,NOSCHOLARPAGE
Ghita Mezzour,International University of Rabat,,NOSCHOLARPAGE
Giacomo Solano,Eindhoven University of Technology,,NOSCHOLARPAGE
Giagia Gao,Henan Polytechnic University,,NOSCHOLARPAGE
Giancarlo Ragozini,University of Naples,,NOSCHOLARPAGE
Giangiacomo Bravo,Linnaeus University,,NOSCHOLARPAGE
Gianluca Carnabuci,University of Amsterdam,,NOSCHOLARPAGE
Gianluca Demartini,University of Queensland,,NOSCHOLARPAGE
Gianluca Lax,Mediterranea University of Reggio Calabria,,NOSCHOLARPAGE
Gianmarco De Francisci Morales,Qatar Computing Research Institute,,NOSCHOLARPAGE
Gigliola Vaglini,University of Pisa,,NOSCHOLARPAGE
Gijs Huitsing,University of Groningen,,NOSCHOLARPAGE
Gil Viry,University of Geneva,,NOSCHOLARPAGE
Gilad Ravid,Ben Gurion University of the Negev,,NOSCHOLARPAGE
Gilberto Díaz-García,University of Los Andes,,NOSCHOLARPAGE
Giles Oatley,Federation University Australia,,NOSCHOLARPAGE
Gina Lai,Hong Kong Baptist University,,NOSCHOLARPAGE
Gina S. Lovasi,Columbia University,,NOSCHOLARPAGE
Giorgia Di Tommaso,Sapienza University of Rome,,NOSCHOLARPAGE
Giovanna Miritello,Telefónica Research,,NOSCHOLARPAGE
Giovanni Stilo,University of L'Aquila,,NOSCHOLARPAGE
Gisele Moura,Rio de Janeiro State University,,NOSCHOLARPAGE
Giulia Berlusconi,National University of Ireland,,NOSCHOLARPAGE
Giulio Jacucci,University of Helsinki,,NOSCHOLARPAGE
Giuseppe (Joe) Labianca,University of Kent,,NOSCHOLARPAGE
Giuseppe De Nicolao,University of Pavia,,NOSCHOLARPAGE
Gönül Dogan,Tilburg University,,NOSCHOLARPAGE
Göran Kauermann,University of Munich,,NOSCHOLARPAGE
Gour C. Karmakar,Federation University Australia,,NOSCHOLARPAGE
Greeshma Lingam,National Institute of Technology,,NOSCHOLARPAGE
Greg Ver Steeg,University of Southern California,,NOSCHOLARPAGE
Gregory Lee Phillips II,Northwestern University,,NOSCHOLARPAGE
Guandong Xu,University of Technology Sydney,,NOSCHOLARPAGE
Guangchun Luo,UESTC,,NOSCHOLARPAGE
Guangjie Han,Nanjing Agricultural University,,NOSCHOLARPAGE
Guangmo Amo Tong,University of Texas at Dallas,,NOSCHOLARPAGE
Guangmo Tong,University of Delaware,,NOSCHOLARPAGE
Guangquan Xu,Tianjin University,,NOSCHOLARPAGE
Guangyao Pang,Shaanxi Normal University,,NOSCHOLARPAGE
Guangye He,Nanjing University,,NOSCHOLARPAGE
Guangzhi Qu,Oakland University,,NOSCHOLARPAGE
Guanjun Liu,Tongji University,,NOSCHOLARPAGE
Gueorgi Kossinets,Columbia University,,NOSCHOLARPAGE
Gui-jun Zhang,Zhejiang University,,NOSCHOLARPAGE
Guido Caldarelli,IMT School for Advanced Studies,,NOSCHOLARPAGE
Guido Conaldi,University of Greenwich,,NOSCHOLARPAGE
Guilherme Galante,Western Paraná State University,,NOSCHOLARPAGE
Guillaume Favre,University Paris-Dauphine,,NOSCHOLARPAGE
Guillermo Owen,Naval Postgraduate School,,NOSCHOLARPAGE
Gulshan Shrivastava,National Institute of Technology,,NOSCHOLARPAGE
Günes Ertan,Coach University,,NOSCHOLARPAGE
Gunnar Flötteröd,KTH - Royal Institute of Technology,,NOSCHOLARPAGE
Guodong Ju,London School of Economics and Political Science,,NOSCHOLARPAGE
Guodong Long,Monash University,,NOSCHOLARPAGE
Guoqiang Li 0001,Shanghai Jiao Tong University,,NOSCHOLARPAGE
Guoshuai Wei,Chongqing University,,NOSCHOLARPAGE
Guoyong Cai,Guilin University of Electronic Technology,,NOSCHOLARPAGE
Guy Zyskind,Massachusetts Institute of Technology,,NOSCHOLARPAGE
