name,affiliation,homepage,scholarid
H. Russell Bernard,University of Florida,,NOSCHOLARPAGE
H. T. Habekothé,University of Amsterdam,,NOSCHOLARPAGE
H. Vincent Poor,Princeton University,,NOSCHOLARPAGE
Habibollah Danyali,Shiraz University,,NOSCHOLARPAGE
Hadi Tajalizadeh,Shiraz University,,NOSCHOLARPAGE
Hai-Feng Zhang 0003,Anhui University,,NOSCHOLARPAGE
Haibin Zheng,Zhejiang University,,NOSCHOLARPAGE
Haibin Zhu,Nipissing University,,NOSCHOLARPAGE
Haider Ali 0001,University of Derby,,NOSCHOLARPAGE
Haifeng Du,Xi'an Jiaotong University,,NOSCHOLARPAGE
Haifeng Shen,Flinders University,,NOSCHOLARPAGE
Haiming Liang,Sichuan University,,NOSCHOLARPAGE
Hainan Zhang,Rutgers University,,NOSCHOLARPAGE
Haipeng Chen 0001,Dartmouth College,,NOSCHOLARPAGE
Hairong Dong,Beijing Jiaotong University,,NOSCHOLARPAGE
Håkan Stattin,University of Örebro,,NOSCHOLARPAGE
Hakim Ghazzai,Stevens Institute of Technology,,NOSCHOLARPAGE
Hamad Zogan,University of Technology Sydney,,NOSCHOLARPAGE
Han Liu 0002,Cardiff University,,NOSCHOLARPAGE
Han Qiu 0001,Telecom ParisTech,,NOSCHOLARPAGE
Hanchun Xiao,Chongqing University,,NOSCHOLARPAGE
Hande Hong,National University of Singapore,,NOSCHOLARPAGE
Hanjia Lyu,University of Rochester,,NOSCHOLARPAGE
Hannah Johnson,Boise State University,,NOSCHOLARPAGE
Hannah Schmid-Petri,University of Passau,,NOSCHOLARPAGE
Hanno Kruse,University of Mannheim,,NOSCHOLARPAGE
Hans Maarse,Maastricht University,,NOSCHOLARPAGE
Hans Noel,Georgetown University,,NOSCHOLARPAGE
Hans Rudolf Heinimann,ETH Zurich,,NOSCHOLARPAGE
Hans Waege,Ghent University,,NOSCHOLARPAGE
Hao Ding 0006,York University,,NOSCHOLARPAGE
Hao Jiang 0010,Wuhan University,,NOSCHOLARPAGE
Hao Lu 0002,Beijing Institute of Technology,,NOSCHOLARPAGE
Hao Wang 0003,Norwegian University of Science and Technology,,NOSCHOLARPAGE
Haohan Wang,Carnegie Mellon University,,NOSCHOLARPAGE
Haojun Huang,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Haoyi Zhou,Beihang University,,NOSCHOLARPAGE
Haoyue Liu,New Jersey Institute of Technology,,NOSCHOLARPAGE
Harald Wiese,University of Leipzig,,NOSCHOLARPAGE
Hari Prabhat Gupta,IIT (BHU) Varanasi,,NOSCHOLARPAGE
Haris Gacanin,Nokia Bell Labs,,NOSCHOLARPAGE
Harshit Srivastava,University of South Florida,,NOSCHOLARPAGE
Hasan Mahmud,Islamic University of Technology (IUT),,NOSCHOLARPAGE
Hazem Krichene,University of Hyogo,,NOSCHOLARPAGE
He Li 0001,Muroran Institute of Technology,,NOSCHOLARPAGE
He Yuan,Harbin Institute of Technology,,NOSCHOLARPAGE
Heather Edelblute,University of Texas at San Antonio,,NOSCHOLARPAGE
Heidi Zinzow,Clemson University,,NOSCHOLARPAGE
Hein de Vries,Care and Public Health Research Institute (CAPHRI),,NOSCHOLARPAGE
Helder Coelho,University of Lisbon,,NOSCHOLARPAGE
Helen S. Jones,University of Central Lancashire,,NOSCHOLARPAGE
Helena Buhr,The Northwestern Institute on Complex Systems (NICO),,NOSCHOLARPAGE
Helge Giese,University of Konstanz,,NOSCHOLARPAGE
Helian Xu,Hunan University,,NOSCHOLARPAGE
Hendry,Chaoyang University of Technology,,NOSCHOLARPAGE
Hengwei Zhang,Claremont Graduate University,,NOSCHOLARPAGE
Henk Flap,Utrecht University,,NOSCHOLARPAGE
Henning Silber,GESIS - Leibniz Institute for the Social Sciences,,NOSCHOLARPAGE
Herbert Hamers,Tilburg University,,NOSCHOLARPAGE
Herbert W. Hethcote,University of Iowa,,NOSCHOLARPAGE
Hester H. S. Moerbeek,Wageningen University,,NOSCHOLARPAGE
Hetty van Emmerik,Utrecht University,,NOSCHOLARPAGE
Hicham G. Elmongui,Alexandria University,,NOSCHOLARPAGE
Hichem Besbes,University of Carthage,,NOSCHOLARPAGE
Hideyuki Imai,Hokkaido University,,NOSCHOLARPAGE
Hiroki Nishiyama 0001,Tohoku University,,NOSCHOLARPAGE
Hiroyasu Inoue,University of Hyogo,,NOSCHOLARPAGE
Hoang Pham,Rutgers University,,NOSCHOLARPAGE
Hoda Khalil,Carleton University,,NOSCHOLARPAGE
Holly B. Shakya,University of California - San Diego,,NOSCHOLARPAGE
Homa Hosseinmardi,University of Southern California,,NOSCHOLARPAGE
Hong Mo,Changsha University of Science and Technology,,NOSCHOLARPAGE
Hong Xiong,Beijing Normal University,,NOSCHOLARPAGE
Hong-Ning Dai,Macau University of Science and Technology,,NOSCHOLARPAGE
Hongbin Huang,National University of Defense Technology,,NOSCHOLARPAGE
Honghao Gao,Shanghai University,,NOSCHOLARPAGE
Hongjun Wang 0002,Southwest Jiaotong University,,NOSCHOLARPAGE
Hongming Cai,Shanghai Jiao Tong University,,NOSCHOLARPAGE
Hongwei Du 0001,Harbin Institute of Technology,,NOSCHOLARPAGE
Hongwei Li 0001,Chinese Academy of Sciences,,NOSCHOLARPAGE
Hongwei Wang 0004,Shanghai Jiao Tong University,,NOSCHOLARPAGE
Hongyang Zhao,Zhejiang University,,NOSCHOLARPAGE
Hongyi Jiang,Wake Forest University,,NOSCHOLARPAGE
Hongzhong Deng,National University of Defense Technology,,NOSCHOLARPAGE
Horacio Saggion,Universitat Pompeu Fabra,,NOSCHOLARPAGE
Hossein Akbari,Ferdowsi University of Mashhad,,NOSCHOLARPAGE
Hossein Rastgoftar,Villanova University,,NOSCHOLARPAGE
Howard C. Nusbaum,University of Chicago,,NOSCHOLARPAGE
Hsien-Chu Wu,National Chin-Yi University of Technology,,NOSCHOLARPAGE
Hsiu Man Chen,Academia Sinica,,NOSCHOLARPAGE
Hsuan-Wei Lee,University of Nebraska,,NOSCHOLARPAGE
Hu Teng,Tongji University,,NOSCHOLARPAGE
Huaji Wang,Cranfield University,,NOSCHOLARPAGE
Huan Liu 0001,Arizona State University,,NOSCHOLARPAGE
Huan Yan,Hefei University of Technology,,NOSCHOLARPAGE
Huan Zhou 0002,Zhejiang University,,NOSCHOLARPAGE
Huansheng Ning,University of Science and Technology Beijing,,NOSCHOLARPAGE
Huazhong Liu,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Hubert Buch-Hansen,Copenhagen Business School,,NOSCHOLARPAGE
Hugh Louch,Princeton University,,NOSCHOLARPAGE
Hugo Gonzalez Villasanti,Ohio State University,,NOSCHOLARPAGE
Hugo Valenzuela-García,Autonomous University of Barcelona,,NOSCHOLARPAGE
Hui Li 0005,Xidian University,,NOSCHOLARPAGE
Hui-Ju Kuo,National Taiwan University,,NOSCHOLARPAGE
Huicai Deng,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Huijie Zhang,Dalian University of Technology,,NOSCHOLARPAGE
Huiling Jia,Zhejiang Sci-Tech University,,NOSCHOLARPAGE
Huiling Zhang,University of Florida,,NOSCHOLARPAGE
Hunter Rogers,Clemson University,,NOSCHOLARPAGE
Huso Yi,National Development and Research Institute,,NOSCHOLARPAGE
Hwai-Chung Ho,Academia Sinica,,NOSCHOLARPAGE
Hyo-Sung Ahn,Gwangju Institute of Science and Technology (GIST),,NOSCHOLARPAGE
Hywel T. P. Williams,University of Exeter,,NOSCHOLARPAGE
