name,affiliation,homepage,scholarid
Iain S. Weaver,University of Exeter,,NOSCHOLARPAGE
Ian D. Wood,Macquarie Univeristy,,NOSCHOLARPAGE
Ian McCulloh,United States Military Academy,,NOSCHOLARPAGE
Ichigaku Takigawa,Hokkaido University,,NOSCHOLARPAGE
Ildikó Barna,Eötvös Loránd University,,NOSCHOLARPAGE
Imran Chowdhury,Pace University,,NOSCHOLARPAGE
Imran Razzak,Deakin University,,NOSCHOLARPAGE
Ineke Maas,Utrecht University,,NOSCHOLARPAGE
Ines Lindner,Tinbergen Institute,,NOSCHOLARPAGE
Inês Peceguina,ISPA University Institute of Psychological Sciences,,NOSCHOLARPAGE
Inessa Levi,University of Louisville,,NOSCHOLARPAGE
Ingegerd Jansson,Stockholm University,,NOSCHOLARPAGE
Ioana van Deurzen,Tilburg University,,NOSCHOLARPAGE
Ioanna Lykourentzou,Luxembourg Institute of Science and Technology,,NOSCHOLARPAGE
Ioannis Charalampidis,CERN,,NOSCHOLARPAGE
Irena Spasic,Cardiff University,,NOSCHOLARPAGE
Irina Shklovski,IT University Copenhagen,,NOSCHOLARPAGE
Iris Wanzenböck,Utrecht University,,NOSCHOLARPAGE
Isabella Gollini,University College Dublin,,NOSCHOLARPAGE
Isao Yagi,Kanagawa Institute of Technology,,NOSCHOLARPAGE
Isidro Maya Jariego,Sevilla University,,NOSCHOLARPAGE
Issa Annamoradnejad,Sharif University of Technology,,NOSCHOLARPAGE
Itisha Gupta,Banasthali Vidyapith,,NOSCHOLARPAGE
Itzia Ruiz-Correa,University of Guanajuato,,NOSCHOLARPAGE
Iulia Cioroianu,University of Exeter,,NOSCHOLARPAGE
Iván Darío Hernández,University of Ibagué,,NOSCHOLARPAGE
Ivan Lee,University of South Australia,,NOSCHOLARPAGE
Ivar E. Vermeulen,University of Amsterdam,,NOSCHOLARPAGE
Ivone Amorim,University of Porto,,NOSCHOLARPAGE
Iyad Alazzam,Yarmouk University,,NOSCHOLARPAGE
