name,affiliation,homepage,scholarid
J. Ashwin Rambaran,University of Groningen,,NOSCHOLARPAGE
J. C. Barnes,University of Texas at Dallas,,NOSCHOLARPAGE
J. Jill Suitor,Louisiana State University,,NOSCHOLARPAGE
J. Santana,Stanford University,,NOSCHOLARPAGE
Jaclyn J. Kettler,Boise State University,,NOSCHOLARPAGE
Jacob Chakareski,University of Alabama,,NOSCHOLARPAGE
Jacob Dijkstra,University of Groningen,,NOSCHOLARPAGE
Jacob G. Foster,University of California - Los Angeles,,NOSCHOLARPAGE
Jacob Habinek,University of California - Berkeley,,NOSCHOLARPAGE
Jacob Harer,Boston University,,NOSCHOLARPAGE
Jacob Hileman,Stockholm University,,NOSCHOLARPAGE
Jacob Russell,Dartmouth College,,NOSCHOLARPAGE
Jacob T. Browne,University of California - San Diego,,NOSCHOLARPAGE
Jacob T. N. Young,Arizona State University,,NOSCHOLARPAGE
Jacob Thebault-Spieker,Virginia Tech,,NOSCHOLARPAGE
Jacob W. Breland,University of Idaho,,NOSCHOLARPAGE
Jaeyeon Park,Yonsei university,,NOSCHOLARPAGE
Jafar Habibi,Sharif University of Technology,,NOSCHOLARPAGE
Jake Bowers,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Jake Burchard,Cornell University,,NOSCHOLARPAGE
James A. Coutinho,Swinburne University of Technology,,NOSCHOLARPAGE
James A. Evans,University of Chicago,,NOSCHOLARPAGE
James A. Hendler,Rensselaer Polytechnic Institute,,NOSCHOLARPAGE
James A. Rolfsen,Creighton University,,NOSCHOLARPAGE
James D. Lee,George Mason University,,NOSCHOLARPAGE
James D. Montgomery,University of Wisconsin - Madison,,NOSCHOLARPAGE
James D. Wilson,University of San Francisco,,NOSCHOLARPAGE
James F. Morris,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,,NOSCHOLARPAGE
James H. Fowler,University of California - San Diego,,NOSCHOLARPAGE
James H. Liu,Massey University,,NOSCHOLARPAGE
James Hollway,Graduate Institute Geneva,,NOSCHOLARPAGE
James J. Q. Yu,Southern University of Science and Technology,,NOSCHOLARPAGE
James Mac Hyman,Los Alamos National Laboratory,,NOSCHOLARPAGE
James Miller 0001,University of Alberta,,NOSCHOLARPAGE
James Moody,Duke University,,NOSCHOLARPAGE
James Nastos,University of British Columbia,,NOSCHOLARPAGE
James P. Spillane,Northwestern University,,NOSCHOLARPAGE
James Pustejovsky,Northwestern University,,NOSCHOLARPAGE
James Sanders,Washington State University,,NOSCHOLARPAGE
James Stiller,University of Liverpool,,NOSCHOLARPAGE
Jan Kleinnijenhuis,VU Amsterdam,,NOSCHOLARPAGE
Jan Kornelis Dijkstra,University of Groningen,,NOSCHOLARPAGE
Jan Pfister,Julius Maximilians University Würzburg,,NOSCHOLARPAGE
Janet M. Box-Steffensmeier,Ohio State University,,NOSCHOLARPAGE
Jani Holopainen,University of Helsinki,,NOSCHOLARPAGE
Janice Yap,Singapore Management University,,NOSCHOLARPAGE
Jar-der Luo,Tsinghua University,,NOSCHOLARPAGE
Jari Saramäki,Helsinki University of Technology,,NOSCHOLARPAGE
Jason Baumgardner,Emory University,,NOSCHOLARPAGE
Jason Bello,London School of Economics and Political Science,,NOSCHOLARPAGE
Jason Castiglione,University of Hawaii at Manoa,,NOSCHOLARPAGE
