name,affiliation,homepage,scholarid
K. Jean Forney,Florida State University,,NOSCHOLARPAGE
K. P. Subbalakshmi,Stevens Institute of Technology,,NOSCHOLARPAGE
K. Ranjini,Manonmaniam Sundaranar University,,NOSCHOLARPAGE
K. Satheesh Kumar,University of Kerala,,NOSCHOLARPAGE
Kai J. Jonas,Georg-August-Universitaet,,NOSCHOLARPAGE
Kai Ma 0003,Dalian University of Technology,,NOSCHOLARPAGE
Kai Peng 0001,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Kaize Shi,Beijing Institute of Technology,,NOSCHOLARPAGE
Kamal Berahmand,Azarbaijan Shahid Madani University,,NOSCHOLARPAGE
Kamal Taha,Khalifa University,,NOSCHOLARPAGE
Kanjar De,Norwegian University of Science and Technology,,NOSCHOLARPAGE
Kaoru Ota,Muroran Institute of Technology,,NOSCHOLARPAGE
Kapil Chalil Madathil,Clemson University,,NOSCHOLARPAGE
Karen Klein Ikkink,Vrije University Amsterdam,,NOSCHOLARPAGE
Karim Jabbar,University of Copenhagen,,NOSCHOLARPAGE
Karin E. Willert,University of South Carolina,,NOSCHOLARPAGE
Karl E. Bauman,University of North Carolina,,NOSCHOLARPAGE
Karl Finger,University of Kiel,,NOSCHOLARPAGE
Karl M. van Meter,CNRS,,NOSCHOLARPAGE
Karl Pillemer,Cornell University,,NOSCHOLARPAGE
Karl-Dieter Opp,University of Leipzig,,NOSCHOLARPAGE
Karl-Oskar Lindgren,Uppsala University,,NOSCHOLARPAGE
Karla A. Badillo-Urquiola,University of Central Florida,,NOSCHOLARPAGE
Károly Takács,Linköping University,,NOSCHOLARPAGE
Karthik Sheshadri,North Carolina State University,,NOSCHOLARPAGE
Kashif Zia,Sohar University,,NOSCHOLARPAGE
Katarzyna Growiec,University of Social Sciences and Humanities,,NOSCHOLARPAGE
Kate Eddens,University of Kent,,NOSCHOLARPAGE
Katherine Faust,University of California - Irvine,,NOSCHOLARPAGE
Kathleen M. Carley,Carnegie Mellon University,,NOSCHOLARPAGE
Kathleen M. O'Connor,Cornell University,,NOSCHOLARPAGE
Kathrin Büttner,Christian-Albrechts-University,,NOSCHOLARPAGE
Kathrin Lämmermann,Institute of Sociology,,NOSCHOLARPAGE
Kathryn B. Laskey,George Mason University,,NOSCHOLARPAGE
Kathryn McAlindon,Michigan State University,,NOSCHOLARPAGE
Kathryn Schiller,University at Albany,,NOSCHOLARPAGE
Katia Iglesias,University of Neuchâtel,,NOSCHOLARPAGE
Katia Petit,University of Montreal,,NOSCHOLARPAGE
Katie Z. Gach,University of Colorado,,NOSCHOLARPAGE
Katja Lozar Manfreda,University of Ljubljana,,NOSCHOLARPAGE
Katrien Fransen,KU Leuven,,NOSCHOLARPAGE
Katsuya Suto,Tohoku University,,NOSCHOLARPAGE
Kaustav Basu,Arizona State University,,NOSCHOLARPAGE
Kay W. Axhausen,ETH Zurich,,NOSCHOLARPAGE
Kayla de la Haye,University of Southern California,,NOSCHOLARPAGE
Kayo Fujimoto,The University of Texas Health Science Center at Houston,,NOSCHOLARPAGE
Kazumasa Oida,Fukuoka Institute of Technology,,NOSCHOLARPAGE
Kazuo Yamaguchi,University of Chicago,,NOSCHOLARPAGE
Ke Xu 0001,Beihang University,,NOSCHOLARPAGE
Kefu Yan,Changsha University of Science and Technology,,NOSCHOLARPAGE
Keisuke Miyanabe,Tohoku University,,NOSCHOLARPAGE
Keisuke Nansai,National Institute for Environmental Studies,,NOSCHOLARPAGE
Keith C. C. Chan,The Hong Kong Polytechnic University,,NOSCHOLARPAGE
Keith Paarporn,Georgia Institute of Technology,,NOSCHOLARPAGE
Kellyton dos Santos Brito,UFRPE,,NOSCHOLARPAGE
Kelvin Kam-fai Tsoi,Chinese University of Hong Kong,,NOSCHOLARPAGE
Ken Barker 0001,University of Calgary,,NOSCHOLARPAGE
Ken Sharpe,University of Melbourne,,NOSCHOLARPAGE
Keng-Pei Lin,Sun Yat-sen University,,NOSCHOLARPAGE
Kenji Saito,Keio University,,NOSCHOLARPAGE
Kenneth A. Frank,Michigan State University,,NOSCHOLARPAGE
Kenneth S. Berenhaut,Wake Forest University,,NOSCHOLARPAGE
Kerstin Sailer,University College London,,NOSCHOLARPAGE
Keshav Sood,Deakin University,,NOSCHOLARPAGE
Kevin Crowston,Syracuse University,,NOSCHOLARPAGE
Kevin I-Kai Wang,University of Auckland,,NOSCHOLARPAGE
Kevin Lewis,Harvard University,,NOSCHOLARPAGE
Kevin M. Beaver,Florida State University,,NOSCHOLARPAGE
Kevin M. Passino,Ohio State University,,NOSCHOLARPAGE
Kevin White 0002,University of Pennsylvania,,NOSCHOLARPAGE
Kewang Zhang,Xi'an Jiaotong University,,NOSCHOLARPAGE
Kexian Wu,Stevens Institute of Technology,,NOSCHOLARPAGE
Kezhi Wang,Northumbria University,,NOSCHOLARPAGE
Khobaib Zaamout,University of Calgary,,NOSCHOLARPAGE
Kieran Evans,Cardiff University,,NOSCHOLARPAGE
Kim-Kwang Raymond Choo,University of Texas at San Antonio,,NOSCHOLARPAGE
Kimberly M. Davidson,Pennsylvania State University,,NOSCHOLARPAGE
Kimmo Kaski,Aalto University,,NOSCHOLARPAGE
King-To Yeung,The State University of New Jersey,,NOSCHOLARPAGE
Kingshuk De,National Institute of Technology,,NOSCHOLARPAGE
Kiran Garimella,Aalto University,,NOSCHOLARPAGE
Klarita Gërxhani,University of Amsterdam,,NOSCHOLARPAGE
Klaus Hamberger,CNRS,,NOSCHOLARPAGE
Klimis S. Ntalianis,Athens University of Applied Sciences,,NOSCHOLARPAGE
Koen Van der Bracht,Ghent University,,NOSCHOLARPAGE
Koen Vanbrabant,University of Leuven,,NOSCHOLARPAGE
Kolter Kalberg,University of Hawaii at Manoa,,NOSCHOLARPAGE
Konstantin Kobs,Julius Maximilians University Würzburg,,NOSCHOLARPAGE
Konstantin Kuzmin,Rennselaer Polytechnic Institute,,NOSCHOLARPAGE
Konstantinos Tsitseklis,University of Athens,,NOSCHOLARPAGE
Koteswar Rao Jerripothula,IIIT Delhi,,NOSCHOLARPAGE
Koushik Mallick,Indian Statistical Institute,,NOSCHOLARPAGE
Koustav Rudra,Leibniz University Hannover,,NOSCHOLARPAGE
Koyel Chakraborty,Supreme Knowledge Foundation Group of Institutions,,NOSCHOLARPAGE
Kripabandhu Ghosh,IIT Kanpur,,NOSCHOLARPAGE
Krishna P. Gummadi,Max Planck Institute,,NOSCHOLARPAGE
Krista Gile,University of Washington,,NOSCHOLARPAGE
Kristen J. Mills,Ohio State University,,NOSCHOLARPAGE
Kristin L. Wood,Singapore University of Technology and Design,,NOSCHOLARPAGE
Kristin Lees Haggerty,Northeastern University,,NOSCHOLARPAGE
Kuai Xu,Arizona State University,,NOSCHOLARPAGE
Kuan Zhang,University of Waterloo,,NOSCHOLARPAGE
Kuang Xu,University of Hong Kong,,NOSCHOLARPAGE
Kuishuang Feng,University of Maryland - College Park,,NOSCHOLARPAGE
Kun He 0001,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Kun Yang 0001,University of Essex,,NOSCHOLARPAGE
Kun Zhu 0001,Nanjing University,,NOSCHOLARPAGE
Kurt Hornik,Institute for Statistics and Mathematics,,NOSCHOLARPAGE
Kurt Luther,Virginia Tech,,NOSCHOLARPAGE
Kwan-Liu Ma,University of California - Davis,,NOSCHOLARPAGE
Kwang-Cheng Chen,University of South Florida,,NOSCHOLARPAGE
Kwok-Leung Tsui,City University of Hong Kong,,NOSCHOLARPAGE
Kyle Emich,University of Delaware,,NOSCHOLARPAGE
Kyota Okubo,Fukuoka Institute of Technology,,NOSCHOLARPAGE
Kyungsik Han,Ajou University,,NOSCHOLARPAGE
