name,affiliation,homepage,scholarid
L. Richard Carley,Carnegie Mellon University,,NOSCHOLARPAGE
Lada A. Adamic,HP Labs,,NOSCHOLARPAGE
Lampros Bouranis,University College Dublin,,NOSCHOLARPAGE
Lars Leszczensky,University of Mannheim,,NOSCHOLARPAGE
Lasse Folke Henriksen,Copenhagen Business School,,NOSCHOLARPAGE
László Lorincz,Corvinus University of Budapest,,NOSCHOLARPAGE
Laura A. Williams,University of Mississippi,,NOSCHOLARPAGE
Laura D. Hanish,Arizona State University,,NOSCHOLARPAGE
Laura M. Koehly,National Human Genome Research Institute,,NOSCHOLARPAGE
Laura Prota,University of Salerno,,NOSCHOLARPAGE
Laura Ricci,University of Pisa,,NOSCHOLARPAGE
Laura Sartori,University of Bologna,,NOSCHOLARPAGE
Lauren Rhue,York University,,NOSCHOLARPAGE
Laurence Brandenberger,University of Bern,,NOSCHOLARPAGE
Laurence Moore,Cardiff University,,NOSCHOLARPAGE
Laurence T. Yang,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Laurence Tianruo Yang,St. Francis Xavier University,,NOSCHOLARPAGE
Laurent Son Nguyen,Idiap Research Institute,,NOSCHOLARPAGE
Lauri Kovanen,Helsinki University of Technology,,NOSCHOLARPAGE
Le Jiang,South China University of Technology,,NOSCHOLARPAGE
Lea Ellwardt,University of Groningen,,NOSCHOLARPAGE
Lea-Maria Löbel,German Institute for Economic Research (DIW) Berlin,,NOSCHOLARPAGE
Lei Shu 0001,Nanjing Agricultural University,,NOSCHOLARPAGE
Lei Wang 0134,Dalian University of Technology,,NOSCHOLARPAGE
Lei Yi,Shandong University,,NOSCHOLARPAGE
Lei Zhang 0042,University of Minnesota,,NOSCHOLARPAGE
Lei-Lei Shi,Jiangsu University,,NOSCHOLARPAGE
Leonardo Maccari,University of Trento,,NOSCHOLARPAGE
Leonie J. Pearson,University of Melbourne,,NOSCHOLARPAGE
Li Da Xu,Old Dominion University,,NOSCHOLARPAGE
Li Li 0013,Tsinghua University,,NOSCHOLARPAGE
Li Lu 0001,UESTC,,NOSCHOLARPAGE
Li Xu 0002,Fujian Normal University,,NOSCHOLARPAGE
Li Yu 0003,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Li-Chun Wang 0001,National Chiao Tung University,,NOSCHOLARPAGE
Li-Ting Wang,National Taiwan Normal University,,NOSCHOLARPAGE
Liang Chang 0003,Guilin University of Electronic Technology,,NOSCHOLARPAGE
Liang Wu 0006,Arizona State University,,NOSCHOLARPAGE
Lianggui Liu,Zhejiang Sci-Tech University,,NOSCHOLARPAGE
Liangtian Wan,Dalian University of Technology,,NOSCHOLARPAGE
Liangyin Chen,Sichuan University,,NOSCHOLARPAGE
Liangyun Liu,Chongqing University,,NOSCHOLARPAGE
Lianyong Qi,Qufu Normal University,,NOSCHOLARPAGE
Lichen Cheng,Beijing Jiaotong University,,NOSCHOLARPAGE
Lichen Zhang 0001,Shaanxi Normal University,,NOSCHOLARPAGE
Lida Xu,Old Dominion University,,NOSCHOLARPAGE
Lidong Bing,Alibaba Group,,NOSCHOLARPAGE
Liesbeth A. G. Mercken,Maastricht University,,NOSCHOLARPAGE
Liesbeth Mercken,Care and Public Health Research Institute (CAPHRI),,NOSCHOLARPAGE
Lifang Li,South China University of Technology,,NOSCHOLARPAGE
Lifei Lu,Shanghai Jiao Tong University,,NOSCHOLARPAGE
Lihong Chen,Zhejiang University,,NOSCHOLARPAGE
Lijia Ma,Xidian University,,NOSCHOLARPAGE
Lijun Song,Vanderbilt University,,NOSCHOLARPAGE
Lin Tao,Peking University,,NOSCHOLARPAGE
Lindsay E. Young,University of Chicago,,NOSCHOLARPAGE
Lindsey Trimble O'Connor,California State University Channel Islands,,NOSCHOLARPAGE
Ling Heng Henry Wong,University of Melbourne,,NOSCHOLARPAGE
Ling Tian,UESTC,,NOSCHOLARPAGE
Ling Yin,Chinese Academy of Sciences,,NOSCHOLARPAGE
Lingmei Ren,Shandong University,,NOSCHOLARPAGE
Lingmin Wang,Zhejiang Sci-Tech University,,NOSCHOLARPAGE
Lingxi Li,Indiana University,,NOSCHOLARPAGE
Linqiang Pan,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Lintao Yang,Central China Normal University,,NOSCHOLARPAGE
Linton C. Freeman,University of California - Irvine,,NOSCHOLARPAGE
