name,affiliation,homepage,scholarid
N. Lancki,University of Chicago,,NOSCHOLARPAGE
Nadine Tamburrini,Royal Holloway University of London,,NOSCHOLARPAGE
Nahomi Ichino,University of Michigan,,NOSCHOLARPAGE
Naimisha Kolli,Indian Institute of Science,,NOSCHOLARPAGE
Naiqi Wu,Guangdong University of Technology,,NOSCHOLARPAGE
Nan Niu,University of Cincinnati,,NOSCHOLARPAGE
Nan-Ning Zheng 0001,Xi'an Jiaotong University,,NOSCHOLARPAGE
Nancy E. Avis,Wake Forest School of Medicine,,NOSCHOLARPAGE
Nancy P. Barnett,Brown University,,NOSCHOLARPAGE
Naoki Masuda,RIKEN Brain Science Institute,,NOSCHOLARPAGE
Naomi Braine,National Development and Research Institute,,NOSCHOLARPAGE
Nargess Tahmasbi,Pennsylvania State University,,NOSCHOLARPAGE
Natalia Zotova,Ohio State University,,NOSCHOLARPAGE
Natalie C. Cotton-Nessler,Bentley University,,NOSCHOLARPAGE
Natalie Indlekofer,University of Konstanz,,NOSCHOLARPAGE
Nathalie Del Vecchio,University Paris 2,,NOSCHOLARPAGE
Nathan Henderson,Brandon University,,NOSCHOLARPAGE
Nava Pliskin,Ben Gurion University of the Negev,,NOSCHOLARPAGE
Naveen Saini,Indian Institute of Technology Patna,,NOSCHOLARPAGE
Navneet Goyal,BITS Pilani,,NOSCHOLARPAGE
Neal Reeves,University of Southampton,,NOSCHOLARPAGE
Negar Foroutan Eghlidi,Shiraz University,,NOSCHOLARPAGE
Neha Gondal,Boston University,,NOSCHOLARPAGE
Neha P. Shah,Rutgers University,,NOSCHOLARPAGE
Nei Kato,Tohoku University,,NOSCHOLARPAGE
Neil McRoberts,University of California - Davis,,NOSCHOLARPAGE
Neil Y. Yen,University of Aizu,,NOSCHOLARPAGE
Nemi Chandra Rathore,IIT Patna,,NOSCHOLARPAGE
Neng Fan,University of Arizona,,NOSCHOLARPAGE
Ngot Bui,Pennsylvania State University,,NOSCHOLARPAGE
Nial Friel,University College Dublin,,NOSCHOLARPAGE
Nianxia Cao,Syracuse University,,NOSCHOLARPAGE
Niccolò Casnici,University of Brescia,,NOSCHOLARPAGE
Nicholas A. Ballester,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,,NOSCHOLARPAGE
Nicholas A. Christakis,Yale Institute for Network Science,,NOSCHOLARPAGE
Nicholas Charron,University of Gothenburg,,NOSCHOLARPAGE
Nicholas Christakis,Harvard University,,NOSCHOLARPAGE
Nicholas Harrigan,Singapore Management University,,NOSCHOLARPAGE
Nicholas M. Harrigan,Macquarie University,,NOSCHOLARPAGE
Nicholas N. Nagle,University of Tennessee,,NOSCHOLARPAGE
Nicholas V. Findler,Arizona State University,,NOSCHOLARPAGE
Nicholas Weller,University of Southern California,,NOSCHOLARPAGE
Nicholaus J. Gati,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Nicholson T. Collier,Argonne National Laboratory,,NOSCHOLARPAGE
Nick Crossley,University of Manchester,,NOSCHOLARPAGE
Nicola Mirc,CNRS,,NOSCHOLARPAGE
Nicolás Suárez,University of Chile,,NOSCHOLARPAGE
Nicolas Tsapatsoulis,Cyprus University of Technology,,NOSCHOLARPAGE
Nicole B. Ellison,University of Michigan,,NOSCHOLARPAGE
Nicole Bohme Carnegie,York University,,NOSCHOLARPAGE
Nicolò Pecora,Catholic University,,NOSCHOLARPAGE
Nikhil Cheke,IIT Patna,,NOSCHOLARPAGE
Nikita Basov,St. Petersburg State University,,NOSCHOLARPAGE
Nikki van Gerwen,Utrecht University,,NOSCHOLARPAGE
Niklas Ravaja,University of Helsinki,,NOSCHOLARPAGE
Nikos E. Mastorakis,Technical University of Sofia,,NOSCHOLARPAGE
Nikos Tziritas,Chinese Academy of Sciences,,NOSCHOLARPAGE
Niloy Ganguly,IIT Kharagpur,,NOSCHOLARPAGE
Ning Cai 0002,Postal Scientific Research and Planning Academy,,NOSCHOLARPAGE
Ning Wang 0013,University of Oxford,,NOSCHOLARPAGE
Nirmalya Chowdhury,Jadavpur University,,NOSCHOLARPAGE
Nisheeth Joshi,Banasthali Vidyapith,,NOSCHOLARPAGE
Nitesh V. Chawla,University of Notre Dame,,NOSCHOLARPAGE
Noah E. Friedkin,University of California - Santa Barbara,,NOSCHOLARPAGE
Noel Sardana,University of Waterloo,,NOSCHOLARPAGE
Noha Alduaiji,Majmaah University,,NOSCHOLARPAGE
Noli Brazil,University of Southern California,,NOSCHOLARPAGE
Nora F. Almosaed,King Abdul Aziz University,,NOSCHOLARPAGE
Norbert Vanbeselaere,KU Leuven,,NOSCHOLARPAGE
Norbou Buchler,U.S. Army Research Laboratory,,NOSCHOLARPAGE
Norio Konno,Yokohama National University,,NOSCHOLARPAGE
Norman Braun,University of Munich,,NOSCHOLARPAGE
Norman Conti,Duquesne University,,NOSCHOLARPAGE
Norman P. Hummon,University of Pittsburgh,,NOSCHOLARPAGE
Noseong Park,University of Maryland - College Park,,NOSCHOLARPAGE
Noshir S. Contractor,Northwestern University,,NOSCHOLARPAGE
Nuria Oliver,Telefónica Research,,NOSCHOLARPAGE
Nuttirudee Charoenruk,Chulalongkorn University,,NOSCHOLARPAGE
Nyi Nyi Htwe,Hiroshima University,,NOSCHOLARPAGE
Nynke van Miltenburg,Utrecht University,,NOSCHOLARPAGE
Nyothiri Aung,University of Science and Technology Beijing,,NOSCHOLARPAGE
