name,affiliation,homepage,scholarid
Obaid Ali Al-Modaf,King Abdul Aziz University,,NOSCHOLARPAGE
Odalia Wong,Hong Kong Baptist University,,NOSCHOLARPAGE
Ofer Arazy,University of Haifa,,NOSCHOLARPAGE
Ofer Engel,London School of Economics and Political Science,,NOSCHOLARPAGE
Oishik Chatterjee,Jadavpur University,,NOSCHOLARPAGE
Olaf Flak,University of Silesia,,NOSCHOLARPAGE
Olaf N. Rank,University of Freiburg,,NOSCHOLARPAGE
Olga Kornienko,Arizona State University,,NOSCHOLARPAGE
Olivier Toubia,Columbia University,,NOSCHOLARPAGE
Oluwaseyi Feyisetan,University of Southampton,,NOSCHOLARPAGE
Omar Lizardo,University of Notre Dame,,NOSCHOLARPAGE
Omar Mehio,American University of Beirut,,NOSCHOLARPAGE
Oren Lederman,MIT Media Lab,,NOSCHOLARPAGE
Örjan Bodin,Stockholm University,,NOSCHOLARPAGE
Osei Appiah,Ohio State University,,NOSCHOLARPAGE
Osmo Mattila,University of Eastern Finland,,NOSCHOLARPAGE
Ove Frank,Stockholm University,,NOSCHOLARPAGE
