name,affiliation,homepage,scholarid
P. J. Lamberson,University of California - Los Angeles,,NOSCHOLARPAGE
P. M. Krafft,University of Oxford,,NOSCHOLARPAGE
P. Robert Duimering,University of Waterloo,,NOSCHOLARPAGE
Pablo Piedrahíta,University of Zaragoza,,NOSCHOLARPAGE
Pádraig Cunningham,University College Dublin,,NOSCHOLARPAGE
Pádraig Mac Carron,University of Oxford,,NOSCHOLARPAGE
Paige Phillips,University of Guelph,,NOSCHOLARPAGE
Pál Czobor,Semmelweis University,,NOSCHOLARPAGE
Palakorn Achananuparp,Singapore Management University,,NOSCHOLARPAGE
Palash Goyal,University of Southern California,,NOSCHOLARPAGE
Pamela A. Popielarz,University of Illinois at Chicago,,NOSCHOLARPAGE
Pamela Bilo Thomas,University of Notre Dame,,NOSCHOLARPAGE
Pamela Emanuelson,Dakota State University,,NOSCHOLARPAGE
Pamela J. Wisniewski,University of Central Florida,,NOSCHOLARPAGE
Pan Hui 0001,University of Helsinki,,NOSCHOLARPAGE
Pan Li 0001,Case Western Reserve University,,NOSCHOLARPAGE
Paola Tubaro,University of Greenwich,,NOSCHOLARPAGE
Paola Velardi,Sapienza University of Rome,,NOSCHOLARPAGE
Paola Zappa,University of Lugano,,NOSCHOLARPAGE
Paolo Bolzern,Politecnico di Milano,,NOSCHOLARPAGE
Paolo Campana,University of Cambridge,,NOSCHOLARPAGE
Paolo Parigi,Stanford University,,NOSCHOLARPAGE
Partha Pratim Roy 0001,IIT Roorkee,,NOSCHOLARPAGE
Pascal Sciarini,University of Geneva,,NOSCHOLARPAGE
Patricia B. Cerrito,University of Louisville,,NOSCHOLARPAGE
Patricia Garcia,University of Michigan,,NOSCHOLARPAGE
Patrick Benavidez,University of Texas at San Antonio,,NOSCHOLARPAGE
Patrick Doreian,University of Ljubljana,,NOSCHOLARPAGE
Patrick Janulis,Northwestern University,,NOSCHOLARPAGE
Patrick Mair,Institute for Statistics and Mathematics,,NOSCHOLARPAGE
Patrick Park,Northwestern University,,NOSCHOLARPAGE
Patrick S. Park,Cornell University,,NOSCHOLARPAGE
Patrizia Vecchi,Washington University in St. Louis,,NOSCHOLARPAGE
Patrizio Colaneri,Politecnico di Milano,,NOSCHOLARPAGE
Paul A. Beck,Ohio State University,,NOSCHOLARPAGE
Paul A. Djupe,Denison University,,NOSCHOLARPAGE
Paul Buitelaar,National University of Ireland,,NOSCHOLARPAGE
Paul D. McLean,Rutgers University,,NOSCHOLARPAGE
Paul Nieuwbeerta,Netherlands Institute for the Study of Crime and Law enforcement (NSCR),,NOSCHOLARPAGE
Paul Rad,University of Texas at San Antonio,,NOSCHOLARPAGE
Paul Wagenseller III,Arizona State University,,NOSCHOLARPAGE
Paulette Lloyd,Indiana University,,NOSCHOLARPAGE
Pauli Miettinen,University of Eastern Finland,,NOSCHOLARPAGE
Paulina Preciado,University of Oxford,,NOSCHOLARPAGE
Pauline Chou,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Pauline W. Hoffmann,University at Buffalo,,NOSCHOLARPAGE
Paulo Jorge Leitão Adeodato,UFPE,,NOSCHOLARPAGE
Paulo Shakarian,Arizona State University,,NOSCHOLARPAGE
Pavel N. Krivitsky,University of Washington,,NOSCHOLARPAGE
Pawan Goyal 0002,IIT Kharagpur,,NOSCHOLARPAGE
Pawan Kumar Verma,GLA University,,NOSCHOLARPAGE
Pawel Sniatala,Poznan University of Technology,,NOSCHOLARPAGE
Pedro O. S. Vaz de Melo,Federal University of Minas Gerais,,NOSCHOLARPAGE
Pei Lv,Zhengzhou University,,NOSCHOLARPAGE
Pei-Yuan Zhou,The Hong Kong Polytechnic University,,NOSCHOLARPAGE
Peijun Ye,Chinese Academy of Sciences,,NOSCHOLARPAGE
Peikun Ni,Chinese Academy of Sciences,,NOSCHOLARPAGE
Peiyun Zhang,Anhui Normal University,,NOSCHOLARPAGE
Peng Wang 0002,Swinburne University of Technology,,NOSCHOLARPAGE
Per Block,ETH Zurich,,NOSCHOLARPAGE
Pernille Bjørn,University of Copenhagen,,NOSCHOLARPAGE
Pete Burnap,Cardiff University,,NOSCHOLARPAGE
Pete Jones,University of Manchester,,NOSCHOLARPAGE
Peter A. Gloor,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Peter Abell,London School of Economics and Political Science,,NOSCHOLARPAGE
Peter Borm,Tilburg University,,NOSCHOLARPAGE
Peter D. Hoff,Duke University,,NOSCHOLARPAGE
Peter Elliott,Swinburne University of Technology,,NOSCHOLARPAGE
Peter H. Beckman,Argonne National Laboratory,,NOSCHOLARPAGE
Peter Hedström,Institute for Futures Studies,,NOSCHOLARPAGE
