name,affiliation,homepage,scholarid
R. Karl Rethemeyer,University at Albany,,NOSCHOLARPAGE
R. Neelamegham,University of Colorado,,NOSCHOLARPAGE
Raby Hamadi,Stevens Institute of Technology,,NOSCHOLARPAGE
Rachel Garshick Kleit,University of Washington,,NOSCHOLARPAGE
Rachel Sacks-Davis,Burnet Institute,,NOSCHOLARPAGE
Rachel Stevenson,University of Manchester,,NOSCHOLARPAGE
Radu Prodan,University of Klagenfurt,,NOSCHOLARPAGE
Rae Jean Proeschold-Bell,Duke University,,NOSCHOLARPAGE
Rafaël Stofer,University Paris Dauphine,,NOSCHOLARPAGE
Rafael T. Mikolajczyk,University of Bielefeld,,NOSCHOLARPAGE
Rafael Wittek,University of Groningen,,NOSCHOLARPAGE
Raffaele Vacca,University of Florida,,NOSCHOLARPAGE
Ragab A. El-Sehiemy,Kafrelsheikh University,,NOSCHOLARPAGE
Rahul Mishra,IIT (BHU) Varanasi,,NOSCHOLARPAGE
Rahul Potharaju,Microsoft,,NOSCHOLARPAGE
Raihan Razib,State University of New York at Buffalo,,NOSCHOLARPAGE
Raine Hoover,Stanford University,,NOSCHOLARPAGE
Rajesh Basak,IIT Kharagpur,,NOSCHOLARPAGE
Rajib Bag,Supreme Knowledge Foundation Group of Institutions,,NOSCHOLARPAGE
Rajiv Ranjan,Newcastle University,,NOSCHOLARPAGE
Rajiv Ranjan Suman,National Institute of Technology,,NOSCHOLARPAGE
Rajkumar Das,Federation University Australia,,NOSCHOLARPAGE
Rajkumar Viral,Amity University,,NOSCHOLARPAGE
Rakesh Nagi,University of Illinois at Urbana–Champaign,,NOSCHOLARPAGE
Raksha Pavagada Subbanarasimha,International Institute of Information Technology,,NOSCHOLARPAGE
Ramasuri Narayanam,Indian Institute of Science,,NOSCHOLARPAGE
Ramesh Baral,Florida International University,,NOSCHOLARPAGE
Rami Puzis,University of Maryland - College Park,,NOSCHOLARPAGE
Ramine Tinati,University of Southampton,,NOSCHOLARPAGE
Ramón Flores,University Carlos III of Madrid,,NOSCHOLARPAGE
Rance P. L. Lee,Chinese University of Hong Kong,,NOSCHOLARPAGE
Ranjan Maity,IIT Guwahati,,NOSCHOLARPAGE
Raphaël Charbey,Telecom ParisTech,,NOSCHOLARPAGE
Rashmi Ranjan Rout,National Institute of Technology,,NOSCHOLARPAGE
Ravi S. Kudesia,Temple University,,NOSCHOLARPAGE
Ravi Sankar,University of South Florida,,NOSCHOLARPAGE
Raymond V. Liedka,University of New Mexico,,NOSCHOLARPAGE
Rebecca C. Kotsonis,Wake Forest University,,NOSCHOLARPAGE
Rebecca Jenkinson,Burnet Institute,,NOSCHOLARPAGE
Rebecca Nash,Simon Fraser University,,NOSCHOLARPAGE
Rebecca Roth,Clemson University,,NOSCHOLARPAGE
Rebeka Johnson,University of Lugano,,NOSCHOLARPAGE
Rémi Boivin,University of Montreal,,NOSCHOLARPAGE
Renáta Hosnedlová,CNRS,,NOSCHOLARPAGE
Renaud Lambiotte,University of Namur,,NOSCHOLARPAGE
René Veenstra,University of Groningen,,NOSCHOLARPAGE
René van den Brink,Free University,,NOSCHOLARPAGE
Rense Corten,Utrecht University,,NOSCHOLARPAGE
Reza Boostani,Shiraz University,,NOSCHOLARPAGE
Reza Parsamehr,Polytechnic University of Madrid,,NOSCHOLARPAGE
Riccardo Boero,University of Torino,,NOSCHOLARPAGE
Richard A. Fabes,Arizona State University,,NOSCHOLARPAGE
Richard Dufour,Avignon University,,NOSCHOLARPAGE
Richard F. Deckro,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,,NOSCHOLARPAGE
Richard Heidler,Bergische University Wuppertal,,NOSCHOLARPAGE
Richard S. John,University of Southern California,,NOSCHOLARPAGE
Richi Nayak,Queensland University of Technology,,NOSCHOLARPAGE
Rick Grannis,University of California - Los Angeles,,NOSCHOLARPAGE
Rick Siow Mong Goh,Institute of High Performance Computing,,NOSCHOLARPAGE
Rickard Nyman,University College London,,NOSCHOLARPAGE
Riitta Toivonen,Helsinki University of Technology,,NOSCHOLARPAGE
Rijk Mercuur,TU Delft,,NOSCHOLARPAGE
Rimjhim,IIT Patna,,NOSCHOLARPAGE
Ritam Sarkar,Jadavpur University,,NOSCHOLARPAGE
Rob Cross,University of Virginia,,NOSCHOLARPAGE
Rob Procter,University of Warwick,,NOSCHOLARPAGE
Robb Willer,University of Iowa,,NOSCHOLARPAGE
Robert A. Hanneman,University of California - Riverside,,NOSCHOLARPAGE
Robert Ackland,Australian National University,,NOSCHOLARPAGE
Robert E. Kraut,Carnegie Mellon University,,NOSCHOLARPAGE
Robert Elliott Smith,University College London,,NOSCHOLARPAGE
Robert Faris,University of California - Davis,,NOSCHOLARPAGE
Robert Huckfeldt,University of California - Davis,,NOSCHOLARPAGE
Robert J. Beck,University of California - Irvine,,NOSCHOLARPAGE
Robert Jiqi Zhang,Massey University,,NOSCHOLARPAGE
Robert P. Gilles,Virginia Polytechnic Institute and State University,,NOSCHOLARPAGE
Robert Panitz,Heidelberg University,,NOSCHOLARPAGE
Robert R. Faulkner,University of Massachusetts,,NOSCHOLARPAGE
Róbert Tardos,Eotvos Lorand University Faculty of Social Sciences,,NOSCHOLARPAGE
Robert W. Faris,University of California - Davis,,NOSCHOLARPAGE
Robert W. Krause,Linköping University,,NOSCHOLARPAGE
Roberto Corradetti,University of Torino,,NOSCHOLARPAGE
Roberto Interdonato,University of Calabria,,NOSCHOLARPAGE
Robin Cohen,University of Waterloo,,NOSCHOLARPAGE
Robin Dunbar,University of Oxford,,NOSCHOLARPAGE
Robin I. M. Dunbar,University of Oxford,,NOSCHOLARPAGE
Robin S. Adams,Purdue University,,NOSCHOLARPAGE
Rochelle R. Côté,University of Toronto,,NOSCHOLARPAGE
Rocío Martínez-López,Telefónica Research,,NOSCHOLARPAGE
Roger Th. A. J. Leenders,Tilburg University,,NOSCHOLARPAGE
Rogério Luís Rizzi,Western Paraná State University,,NOSCHOLARPAGE
Rogério Luiz Cardoso Silva Filho,UFPE,,NOSCHOLARPAGE
Roland Holten,Goethe University Frankfurt,,NOSCHOLARPAGE
Rolf Ziegler,University of Munich,,NOSCHOLARPAGE
Roman Kern,Graz University of Technology,,NOSCHOLARPAGE
Romina Cachia,Sevilla University,,NOSCHOLARPAGE
Romualdo Pastor-Satorras,Polytechnic University of Catalonia,,NOSCHOLARPAGE
Ronald L. Breiger,University of Arizona,,NOSCHOLARPAGE
Ronald R. Rindfuss,University of North Carolina,,NOSCHOLARPAGE
Ronald S. Burt,University of Chicago,,NOSCHOLARPAGE
Rong-Kuan Shen,Shih Hsin University,,NOSCHOLARPAGE
Rongrong Jing,Chinese Academy of Sciences,,NOSCHOLARPAGE
Rongsheng Dong,Guilin University of Electronic Technology,,NOSCHOLARPAGE
Rongxing Lu,Nanyang Technological University,,NOSCHOLARPAGE
Rosa M. Benito,Polytechnic University of Madrid,,NOSCHOLARPAGE
Rosa M. V. Figueiredo,University of Aveiro,,NOSCHOLARPAGE
Rosanna Grassi,University of Milan Bicocca,,NOSCHOLARPAGE
Roshanak R. Nilchiani,Stevens Institute of Technology,,NOSCHOLARPAGE
Roshni Chakraborty,IIT Patna,,NOSCHOLARPAGE
Ross Maciejewski,Arizona State University,,NOSCHOLARPAGE
Rosta Farzan,University of Pittsburgh,,NOSCHOLARPAGE
Rounaq Choudhuri,RCC Institute of Information Technology,,NOSCHOLARPAGE
Roy Gava,University of Geneva,,NOSCHOLARPAGE
Roy L. Crole,University of Leicester,,NOSCHOLARPAGE
Roy Lindelauf,Netherlands Defense Academy,,NOSCHOLARPAGE
Rozemarijn van der Ploeg,University of Groningen,,NOSCHOLARPAGE
Ruben De Cuyper,Netherlands Institute for the Study of Crime and Law enforcement (NSCR),,NOSCHOLARPAGE
Rubén Lara,Telefónica Research,,NOSCHOLARPAGE
Rudra Pratap Ojha,Galgotias University,,NOSCHOLARPAGE
Rui Su,Jining Medical University,,NOSCHOLARPAGE
Ruidong Yan,Renmin University of China,,NOSCHOLARPAGE
Ruihan Wu,Cornell University,,NOSCHOLARPAGE
Ruijin Wang,UESTC,,NOSCHOLARPAGE
Ruiqi Wang,University of Delaware,,NOSCHOLARPAGE
Ruixuan Li,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Ruiyun Yu,Northeastern University,,NOSCHOLARPAGE
Rung-Ching Chen,Chaoyang University of Technology,,NOSCHOLARPAGE
Runhe Huang,Hosei University,,NOSCHOLARPAGE
Ruocheng Guo,Arizona State University,,NOSCHOLARPAGE
Rupa Jose,University of California - Irvine,,NOSCHOLARPAGE
Ruud Hendrickx,Tilburg University,,NOSCHOLARPAGE
Ryan Hare,Rowan University,,NOSCHOLARPAGE
Ryan M. Acton,University of Massachusetts,,NOSCHOLARPAGE
Ryan Sequeira,IIT Patna,,NOSCHOLARPAGE
Ryan W. Quinn,University of Louisville,,NOSCHOLARPAGE
Ryan Wen Liu,Wuhan University,,NOSCHOLARPAGE
Ryosuke Harakawa,Nagaoka University of Technology,,NOSCHOLARPAGE
