name,affiliation,homepage,scholarid
S. Andrew Gadsden,University of Guelph,,NOSCHOLARPAGE
S. P. Raja,Vel Tech,,NOSCHOLARPAGE
S. Sitharama Iyengar,Florida International University,,NOSCHOLARPAGE
Saad Razzaq,University of Sargodha,,NOSCHOLARPAGE
Sabina Kef,University of Amsterdam,,NOSCHOLARPAGE
Sabine De Moor,Ghent University,,NOSCHOLARPAGE
Sabitri Nanda Chakraborty,University of Kalyani,,NOSCHOLARPAGE
Sachin Grover,Carnegie Mellon University,,NOSCHOLARPAGE
Sadamori Koujaku,Hokkaido University,,NOSCHOLARPAGE
Sadjad Tavakoli,Sharif University of Technology,,NOSCHOLARPAGE
Saeed Farzi,K. N. Toosi University of Technology,,NOSCHOLARPAGE
Sahraoui Dhelim,University of Science and Technology Beijing,,NOSCHOLARPAGE
Sai Avinash Sattiraju,University of Texas at Austin,,NOSCHOLARPAGE
Sajedul Rahim Talukder,Edinboro University,,NOSCHOLARPAGE
Saket Kumar,Amity University,,NOSCHOLARPAGE
Salvador Ruiz-Correa,Potosino Institute of Scientific and Technology Research,,NOSCHOLARPAGE
Salvatore Miccichè,University of Palermo,,NOSCHOLARPAGE
Sam Field,University of Texas at Austin,,NOSCHOLARPAGE
Sam G. B. Roberts,University of Chester,,NOSCHOLARPAGE
Sam Schramski,Federal University of Amazonas,,NOSCHOLARPAGE
Samee U. Khan,Dakota State University,,NOSCHOLARPAGE
Sameera Horawalavithana,University of South Florida,,NOSCHOLARPAGE
Sami Abu-El-Haija,University of Southern California,,NOSCHOLARPAGE
Samira Malek Mohamadi Golsefid,Amirkabir University of Technology (Polytechnic of Tehran),,NOSCHOLARPAGE
Samit Bhattacharya,IIT Guwahati,,NOSCHOLARPAGE
Samrachana Adhikari,York University,,NOSCHOLARPAGE
Samuel Frederick,Columbia University,,NOSCHOLARPAGE
Samuel Friedman,National Development and Research Institute,,NOSCHOLARPAGE
Samya Muhuri,Bennett University,,NOSCHOLARPAGE
Sanasam Ranbir Singh,IIT Guwahati,,NOSCHOLARPAGE
Sancheng Peng,Guangdong University of Foreign Studies,,NOSCHOLARPAGE
Sandeep Purao,Bentley University,,NOSCHOLARPAGE
Sandip Chakraborty,IIT Kharagpur,,NOSCHOLARPAGE
Sandra Cristina Oliveira,Universidade Estadual Paulista,,NOSCHOLARPAGE
Sandra González-Bailón,University of Pennsylvania,,NOSCHOLARPAGE
Sandro Sperandei,Institute of Scientific and Technological Communication & Information in Health,,NOSCHOLARPAGE
Sang Eun Woo,Purdue University,,NOSCHOLARPAGE
Sang Peter Chin,Boston University,,NOSCHOLARPAGE
Sangeetha Madhavan,University of the Witwatersrand,,NOSCHOLARPAGE
Sanghamitra Bandyopadhyay,Indian Statistical Institute,,NOSCHOLARPAGE
Sangick Jeon,Stanford University,,NOSCHOLARPAGE
Sangwon Suh,University of California - Santa Barbara,,NOSCHOLARPAGE
Sanjana Kadaba Viswanath,Singapore University of Technology and Design,,NOSCHOLARPAGE
Sanjit Kumar Setua,University of Calcutta,,NOSCHOLARPAGE
Sankar K. Pal,Indian Statistical Institute,,NOSCHOLARPAGE
Sanne Smith,Utrecht University,,NOSCHOLARPAGE
Santiago Ramírez,University of Los Andes,,NOSCHOLARPAGE
Saptarshi Ghosh 0001,IIT Kharagpur,,NOSCHOLARPAGE
Saqib Rasool,University of Gujrat,,NOSCHOLARPAGE
Sara Bastomski,Yale University,,NOSCHOLARPAGE
Sara Bojarczuk,Trinity College Dublin,,NOSCHOLARPAGE
Sara Geven,Utrecht University,,NOSCHOLARPAGE
Sara Gorgoni,University of Greenwich,,NOSCHOLARPAGE
Sara Y. Del Valle,Los Alamos National Laboratory,,NOSCHOLARPAGE
Sara Yeatman,University of Colorado,,NOSCHOLARPAGE
Sarah A. Marshall,Wake Forest School of Medicine,,NOSCHOLARPAGE
Sarah Alismail,Claremont Graduate University,,NOSCHOLARPAGE
Sarah Gielen,KU Leuven,,NOSCHOLARPAGE
Sarah K. Cowan,York University,,NOSCHOLARPAGE
Sarbani Roy,Jadavpur University,,NOSCHOLARPAGE
Sarika Jalan,IIT Indore,,NOSCHOLARPAGE
Sarit Kraus,Bar-Ilan University,,NOSCHOLARPAGE
Sasitharan Balasubramaniam,Waterford Institute of Technology,,NOSCHOLARPAGE
Saskia Metzler,Max Planck Institute,,NOSCHOLARPAGE
Sathisha Basavaraju,IIT Guwahati,,NOSCHOLARPAGE
Sattam Al Otaibi,Taif University,,NOSCHOLARPAGE
Satyam Mukherjee,Northwestern University,,NOSCHOLARPAGE
Sayan Bose,RCC Institute of Information Technology,,NOSCHOLARPAGE
Scott Baum,Griffith University,,NOSCHOLARPAGE
Scott D. Gest,Pennsylvania State University,,NOSCHOLARPAGE
Scott D. McClurg,Southern Illinois University,,NOSCHOLARPAGE
Scott Dick,University of Alberta,,NOSCHOLARPAGE
Scott E. Page,University of Michigan,,NOSCHOLARPAGE
Scott L. Feld,Purdue University,,NOSCHOLARPAGE
Scott W. Duxbury,Ohio State University,,NOSCHOLARPAGE
Sean M. Fitzhugh,University of California - Irvine,,NOSCHOLARPAGE
Sebastian Bähr,University of Erlangen-Nuremberg,,NOSCHOLARPAGE
Sebastian Pink,University of Mannheim,,NOSCHOLARPAGE
Sebastian Schnettler,Yale University,,NOSCHOLARPAGE
Senthilkumar Mohan,Vellore Institute of Technology,,NOSCHOLARPAGE
Sergio Chavez,Rice University,,NOSCHOLARPAGE
Sérgio Endrigo Ferreira,UFPE,,NOSCHOLARPAGE
Sergiy Butenko,Texas A&M University,,NOSCHOLARPAGE
Serhad Sarica,Singapore University of Technology and Design,,NOSCHOLARPAGE
Sethuraman Panchanathan,Arizona State University,,NOSCHOLARPAGE
Seunghoo Lim,International University of Japan,,NOSCHOLARPAGE
Seyyed Hadi Sajadi,Sharif University of Technology,,NOSCHOLARPAGE
Sha Zhao,Zhejiang University,,NOSCHOLARPAGE
Shahid Mumtaz,Telecommunications institute,,NOSCHOLARPAGE
Shahla Nemati,Shahrekord University,,NOSCHOLARPAGE
Shajulin Benedict,Indian Institute of Information Technology,,NOSCHOLARPAGE
Shakked Lev,University of Haifa,,NOSCHOLARPAGE
Shalini Priya,IIT Patna,,NOSCHOLARPAGE
Shamik Sural,IIT Kharagpur,,NOSCHOLARPAGE
Shancang Li,University of the West of England,,NOSCHOLARPAGE
Shanfeng Wang,Xidian University,,NOSCHOLARPAGE
Shankar Bhamidi,University of North Carolina,,NOSCHOLARPAGE
Shanqing Yu,Zhejiang University,,NOSCHOLARPAGE
Shanshan Wei,Harbin Institute of Technology,,NOSCHOLARPAGE
