name,affiliation,homepage,scholarid
Tackseung Jun,Kyung Hee University,,NOSCHOLARPAGE
Tadeusz Sozanski,Institute of Sociology,,NOSCHOLARPAGE
Taesik Gong,KAIST,,NOSCHOLARPAGE
Taha Yasseri,University of Oxford,,NOSCHOLARPAGE
Tahereh Dehdarirad,University of Barcelona,,NOSCHOLARPAGE
Tahereh Kamali,University of Waterloo,,NOSCHOLARPAGE
Taiane de Paula Ferreira,Universidade Estadual Paulista,,NOSCHOLARPAGE
Taketoshi Yoshida,Japan Advanced Institute of Science and Technology,,NOSCHOLARPAGE
Tal Spalter,Tel Aviv University,,NOSCHOLARPAGE
Tamar Yogev,University of Haifa,,NOSCHOLARPAGE
Tanima Dutta,IIT (BHU) Varanasi,,NOSCHOLARPAGE
Tanja Nitschke,University of Karlsruhe (TH),,NOSCHOLARPAGE
Tanmoy Chakraborty 0002,Indraprastha Institute of Information Technology Delhi,,NOSCHOLARPAGE
Tanya Araújo,Technical University of Lisbon,,NOSCHOLARPAGE
Tanya Menon,Ohio State University,,NOSCHOLARPAGE
Tao Li 0001,Florida International University,,NOSCHOLARPAGE
Tao Qin,Xi'an Jiaotong University,,NOSCHOLARPAGE
Tao Tang 0007,Dalian University of Technology,,NOSCHOLARPAGE
Tapan Chowdhury,Indian Institute of Engineering Science and Technology,,NOSCHOLARPAGE
Tapan Kumar Saha,University of Queensland,,NOSCHOLARPAGE
Tarik Crnovrsanin,University of California - Davis,,NOSCHOLARPAGE
Tasos Dagiuklas,London South Bank University,,NOSCHOLARPAGE
Ted Mouw,University of North Carolina,,NOSCHOLARPAGE
Terrence D. Jorgensen,University of Amsterdam,,NOSCHOLARPAGE
Terry D. Clark,Creighton University,,NOSCHOLARPAGE
Thanasis Loukopoulos,University of Thessaly,,NOSCHOLARPAGE
Theo A. Arentze,Eindhoven University of Technology,,NOSCHOLARPAGE
Theo van Tilburg,Vrije University Amsterdam,,NOSCHOLARPAGE
Thierry Marchant,Ghent University,,NOSCHOLARPAGE
Thijs A. Velema,Sun Yat-sen University,,NOSCHOLARPAGE
Thomas F. Oltmanns,Washington University in St. Louis,,NOSCHOLARPAGE
Thomas Gautschi,University of Bern,,NOSCHOLARPAGE
