name,affiliation,homepage,scholarid
V. K. Narayanan,Drexel University,,NOSCHOLARPAGE
V. S. Subrahmanian,University of Maryland - College Park,,NOSCHOLARPAGE
Vairavan Murugappan,Illinois Institute of Technology,,NOSCHOLARPAGE
Valentin Danchev,University of Oxford,,NOSCHOLARPAGE
Valentina Hlebec,University of Ljubljana,,NOSCHOLARPAGE
Valentina Mazzucato,Maastricht University,,NOSCHOLARPAGE
Valentyn Kalnysh,Ukrainian Institute of Public Health,,NOSCHOLARPAGE
Valérie Delaunay,Aix Marseille University,,NOSCHOLARPAGE
Valerio Arnaboldi,University of Oxford,,NOSCHOLARPAGE
Valerio Leone Sciabolazza,University of Naples,,NOSCHOLARPAGE
Vangie A. Foshee,University of North Carolina,,NOSCHOLARPAGE
Vanilson André de Arruda Burégio,UFRPE,,NOSCHOLARPAGE
Vanina Jasmine Torló,University of Greenwich,,NOSCHOLARPAGE
Vasant G. Honavar,Pennsylvania State University,,NOSCHOLARPAGE
Vasileios Karyotis,Ionian University,,NOSCHOLARPAGE
Vasja Vehovar,University of Ljubljana,,NOSCHOLARPAGE
Venkat Venkatasubramanian,Columbia University,,NOSCHOLARPAGE
Verónica de Miguel Luken,Autonomous University of Barcelona,,NOSCHOLARPAGE
Vicki Stover Hertzberg,Emory University,,NOSCHOLARPAGE
Victor Agadjanian,University of Kansas,,NOSCHOLARPAGE
Victor Asal,University at Albany,,NOSCHOLARPAGE
Victor C. M. Leung,Shenzhen University,,NOSCHOLARPAGE
Víctor Martínez-de-Albéniz,University of Navarra,,NOSCHOLARPAGE
Victor O. K. Li,University of Hong Kong,,NOSCHOLARPAGE
Victor R. L. Shen,Chaoyang University of Technology,,NOSCHOLARPAGE
Victor R. Prybutok,University of North Texas,,NOSCHOLARPAGE
Victor S. Sheng,Texas Tech University,,NOSCHOLARPAGE
Vijay Mago,Lakehead University,,NOSCHOLARPAGE
Vikram Krishnamurthy,University of British Columbia,,NOSCHOLARPAGE
Vincent A. A. Jansen,Royal Holloway University of London,,NOSCHOLARPAGE
Vincent A. Traag,Leiden University,,NOSCHOLARPAGE
Vincent Buskens,Utrecht University,,NOSCHOLARPAGE
Vincent Chua,National University of Singapore,,NOSCHOLARPAGE
Vincent G. Moscardelli,University of Connecticut,,NOSCHOLARPAGE
Vincent Labatut,Avignon University,,NOSCHOLARPAGE
Vincent Lorant,Catholic University,,NOSCHOLARPAGE
Vincenz Frey,Bocconi University,,NOSCHOLARPAGE
Vincenzo Piuri,University of Milan,,NOSCHOLARPAGE
Vinicius Cardoso Garcia,UFPE,,NOSCHOLARPAGE
Viresh Gupta,IIIT Delhi,,NOSCHOLARPAGE
Virginia Dignum,TU Delft,,NOSCHOLARPAGE
Virginie Kidwell-Lopez,University of Texas at Dallas,,NOSCHOLARPAGE
Vitara Pungpapong,Chulalongkorn University,,NOSCHOLARPAGE
Vittorio Fuccella,University of Salerno,,NOSCHOLARPAGE
Vivek Kumar Singh 0007,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Viviana Amati,ETH Zurich,,NOSCHOLARPAGE
Vladimir Barash,Cornell University,,NOSCHOLARPAGE
Vladimir Batagelj,Institute of Mathematics,,NOSCHOLARPAGE
Vladimir Filkov,University of California - Davis,,NOSCHOLARPAGE
Volker Stocké,University of Kassel,,NOSCHOLARPAGE
Vontrese Deeds Pamphile,Northwestern University,,NOSCHOLARPAGE
