name,affiliation,homepage,scholarid
W. Craig Carter,Middle Tennessee State University,,NOSCHOLARPAGE
W. Scott Comulada,University of California - Los Angeles,,NOSCHOLARPAGE
Wafa Alorainy,Cardiff University,,NOSCHOLARPAGE
Walid Magdy,University of Edinburgh,,NOSCHOLARPAGE
Walter Quattrociocchi,IMT School for Advanced Studies,,NOSCHOLARPAGE
Wanchun Dou,Nanjing University,,NOSCHOLARPAGE
Wanjiun Liao,National Taiwan University,,NOSCHOLARPAGE
Wanlei Zhou,University of Technology Sydney,,NOSCHOLARPAGE
Wanqiu Huang,Shanghai University,,NOSCHOLARPAGE
Wanru Li,George Mason University,,NOSCHOLARPAGE
Wanyuan Wang,Southeast University,,NOSCHOLARPAGE
Wattana Viriyasitavat,Chulalongkorn University,,NOSCHOLARPAGE
Wayes Tushar,University of Queensland,,NOSCHOLARPAGE
Wayne E. Baker,University of Michigan,,NOSCHOLARPAGE
Wei Chen 0001,Zhejiang University,,NOSCHOLARPAGE
Wei Du 0004,Xi'an Jiaotong University,,NOSCHOLARPAGE
Wei Duan,National University of Defense Technology,,NOSCHOLARPAGE
Wei Jing,Institute of High Performance Computing,,NOSCHOLARPAGE
Wei Li 0058,University of Sydney,,NOSCHOLARPAGE
Wei Luo 0001,Deakin University,,NOSCHOLARPAGE
Wei Wang 0012,KAUST,,NOSCHOLARPAGE
Wei Wang 0077,Dalian University of Technology,,NOSCHOLARPAGE
Wei Wang 0088,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Wei Wang 0211,University of Central Florida,,NOSCHOLARPAGE
Wei Wei 0006,Xi'an University of Technology,,NOSCHOLARPAGE
Weiai Xu,University of Massachusetts,,NOSCHOLARPAGE
Weichao Gong,Chinese Academy of Sciences,,NOSCHOLARPAGE
Weichen Liu,University of California - San Diego,,NOSCHOLARPAGE
Weifeng Lv,Beihang University,,NOSCHOLARPAGE
Weiguo Wang,Dongbei University of Finance & Economics,,NOSCHOLARPAGE
Weihong Han,Guangzhou University,,NOSCHOLARPAGE
Weihua An,Indiana University,,NOSCHOLARPAGE
Weihua Li,Auckland University of Technology,,NOSCHOLARPAGE
Weijia Jia 0001,University of Macau,,NOSCHOLARPAGE
Weijin Jiang,Hunan University,,NOSCHOLARPAGE
Weili Wu,University of Texas at Dallas,,NOSCHOLARPAGE
Weishan Zhang,China University of Petroleum,,NOSCHOLARPAGE
Weiwei Gu,Beijing Normal University,,NOSCHOLARPAGE
Wen Zhang 0001,Beijing University of Technology,,NOSCHOLARPAGE
Wen-Chi Chuang,National Chengchi University,,NOSCHOLARPAGE
Wen-Tai Li,Singapore University of Technology and Design,,NOSCHOLARPAGE
Wenbo He,McGill University,,NOSCHOLARPAGE
Wendy D. Brynildsen,Duke University,,NOSCHOLARPAGE
Wendy Moncur,University of Dundee,,NOSCHOLARPAGE
Wenguo Yang,Chinese Academy of Sciences,,NOSCHOLARPAGE
Wenhong Chen,University of Texas at Austin,,NOSCHOLARPAGE
Wenjia Li,University of Texas at Dallas,,NOSCHOLARPAGE
Wenjian Luo,Harbin Institute of Technology,,NOSCHOLARPAGE
Wenjie Ruan,University of Exeter,,NOSCHOLARPAGE
Wenjun Zhou 0001,University of Tennessee,,NOSCHOLARPAGE
Wenmin Lin,Hangzhou Normal University,,NOSCHOLARPAGE
Wenqing Cheng,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Wentao Wang 0003,University of Cincinnati,,NOSCHOLARPAGE
Wentian Cui,Xi'an Jiaotong University,,NOSCHOLARPAGE
Wenyi Tang,UESTC,,NOSCHOLARPAGE
Wenzhong Guo,Fuzhou University,,NOSCHOLARPAGE
Werner Raub,Utrecht University,,NOSCHOLARPAGE
Wesley L. Kaizer,Western Paraná State University,,NOSCHOLARPAGE
Willem E. Saris,University of Amsterdam,,NOSCHOLARPAGE
William A. Wallace,Rensselaer Polytechnic Institute,,NOSCHOLARPAGE
William C. Carter,University of North Carolina,,NOSCHOLARPAGE
William Frankenstein,Georgetown University,,NOSCHOLARPAGE
William H. Batchelder,University of California - Irvine,,NOSCHOLARPAGE
William H. Woodall,Virginia Tech,,NOSCHOLARPAGE
William Hoiles,University of British Columbia,,NOSCHOLARPAGE
William J. Burk,Radboud University,,NOSCHOLARPAGE
William J. Fitzgerald 0002,University of California - Irvine,,NOSCHOLARPAGE
William M. Webberley,Cardiff University,,NOSCHOLARPAGE
William P. Eveland,Ohio State University,,NOSCHOLARPAGE
William S. Lovejoy,University of Michigan,,NOSCHOLARPAGE
William Zhu,UESTC,,NOSCHOLARPAGE
Wim van den Noortgate,KU Leuven,,NOSCHOLARPAGE
Woojeong Kim,Ajou University,,NOSCHOLARPAGE
Wouter de Nooy,University of Amsterdam,,NOSCHOLARPAGE
Wynn C. Stirling,Brigham Young University,,NOSCHOLARPAGE
