name,affiliation,homepage,scholarid
Y. Narahari,Indian Institute of Science,,NOSCHOLARPAGE
Ya-Wen Chiu,University of Washington,,NOSCHOLARPAGE
Yaakov Bar-Shalom,University of Connecticut,,NOSCHOLARPAGE
Yahui Wu,National University of Defense Technology,,NOSCHOLARPAGE
Yajie Shi,Dalian University of Technology,,NOSCHOLARPAGE
Yamir Moreno,University of Zaragoza,,NOSCHOLARPAGE
Yan Jia 0001,National University of Defense Technology,,NOSCHOLARPAGE
Yan Qiao,Macau University of Science and Technology,,NOSCHOLARPAGE
Yan Wu 0009,Jiangsu University,,NOSCHOLARPAGE
Yan Zhang 0004,Peking University,,NOSCHOLARPAGE
Yan Zhao 0005,Dartmouth College,,NOSCHOLARPAGE
Yan-An Hwang,National Dong Hwa University,,NOSCHOLARPAGE
Yanbing Liu,Chongqing University,,NOSCHOLARPAGE
Yancai Xu,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yaneer Bar-Yam,New England Complex Systems Institute,,NOSCHOLARPAGE
Yanfen Wang,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yang Chen 0001,Fudan University,,NOSCHOLARPAGE
Yang Liu 0046,New Jersey Institute of Technology,,NOSCHOLARPAGE
Yang Liu 0064,Michigan Technological University,,NOSCHOLARPAGE
Yang Xiang 0001,Deakin University,,NOSCHOLARPAGE
Yang Xing,Cranfield University,,NOSCHOLARPAGE
Yang-chih Fu,Academia Sinica,,NOSCHOLARPAGE
Yangfu Zhu,Chongqing University,,NOSCHOLARPAGE
Yangyang Wu,Zhejiang University,,NOSCHOLARPAGE
Yanhai Xiong,Dartmouth College,,NOSCHOLARPAGE
Yanick Charette,Yale Institute for Network Science and Université Laval,,NOSCHOLARPAGE
Yanjie Bian,Xi'an Jiaotong University,,NOSCHOLARPAGE
Yanli Li,Changshu Institute of Technology,,NOSCHOLARPAGE
Yanlong Zhang,Peking University,,NOSCHOLARPAGE
Yanmei Zhang,Central University of Finance and Economics,,NOSCHOLARPAGE
Yansen Su,Anhui University,,NOSCHOLARPAGE
Yantao Jia,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yanzi Du,Xiamen University,,NOSCHOLARPAGE
Yap-Peng Tan,Nanyang Technological University,,NOSCHOLARPAGE
Yapu Zhang,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yaqiong Zeng,Changsha University of Science and Technology,,NOSCHOLARPAGE
Yasuo Kudo,Muroran Institute of Technology,,NOSCHOLARPAGE
Yasushi Kondo,Waseda University,,NOSCHOLARPAGE
Yauheni Pyrloh,Belarusian State University of Informatics and Radioelectronics,,NOSCHOLARPAGE
Ye Li 0002,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yechao Yang,Institute of High Performance Computing,,NOSCHOLARPAGE
Yee Heng Tan,Tokyo International University,,NOSCHOLARPAGE
Yehia Massoud,Stevens Institute of Technology,,NOSCHOLARPAGE
Yen-Sheng Chiang,Academia Sinica,,NOSCHOLARPAGE
Yen-Wen Chen,National Taiwan University,,NOSCHOLARPAGE
Yi Chen 0001,New Jersey Institute of Technology,,NOSCHOLARPAGE
Yi Chen 0011,Muroran Institute of Technology,,NOSCHOLARPAGE
Yi Cheng Loh,University of Cambridge,,NOSCHOLARPAGE
Yi Li 0030,University of Texas at Tyler,,NOSCHOLARPAGE
Yi Liu 0024,Zhejiang University,,NOSCHOLARPAGE
Yi Pan 0001,Georgia State University,,NOSCHOLARPAGE
Yi Xie 0002,Sun Yat-sen University,,NOSCHOLARPAGE
Yi-Feng Lan,Tunghai University,,NOSCHOLARPAGE
Yi-Nan Lin,Ming Chi University of Technology,,NOSCHOLARPAGE
Yi-Wei Chang,Sun Yat-sen University,,NOSCHOLARPAGE
Yibo Guo,Zhengzhou University,,NOSCHOLARPAGE
Yichuan Jiang,Southeast University,,NOSCHOLARPAGE
Yiding Zhang,Beijing University of Posts and Telecommunications,,NOSCHOLARPAGE
Yidong Li,Beijing Jiaotong University,,NOSCHOLARPAGE
Yifeng Liu,China Academy of Electronics and Information Technology,,NOSCHOLARPAGE
Yiftach Nagar,University of Haifa,,NOSCHOLARPAGE
Yinan Mei,Central University of Finance and Economics,,NOSCHOLARPAGE
Ying Tang 0001,Dalian Maritime University,,NOSCHOLARPAGE
Ying Zhang 0001,University of Technology Sydney,,NOSCHOLARPAGE
Ying-Chin Lee,National Tsing Hua University,,NOSCHOLARPAGE
Yinghua Huang,Zhejiang University,,NOSCHOLARPAGE
Yingjie Wang 0002,Yantai University,,NOSCHOLARPAGE
Yingshu Li,Georgia State University,,NOSCHOLARPAGE
Yisheng Lv,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yishi Lee,University of Denver,,NOSCHOLARPAGE
Yishi Lin,Chinese University of Hong Kong,,NOSCHOLARPAGE
Yisi Sang,Syracuse University,,NOSCHOLARPAGE
Yisook Lim,Yonsei University,,NOSCHOLARPAGE
Yixian Chen,Zhejiang University,,NOSCHOLARPAGE
Yizhi Xu,Zhejiang University,,NOSCHOLARPAGE
Yizhu Chen,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yla R. Tausczik,University of Maryland - College Park,,NOSCHOLARPAGE
Ylva Almquist,Stockholm University,,NOSCHOLARPAGE
Yong Gao 0001,University of British Columbia,,NOSCHOLARPAGE
Yong Li 0037,Beijing University of Technology,,NOSCHOLARPAGE
Yong Liu 0013,York University,,NOSCHOLARPAGE
Yong Yuan,Renmin University of China,,NOSCHOLARPAGE
Yong-Hak Kim,Yonsei University,,NOSCHOLARPAGE
Yongdong Wang,Zhejiang University,,NOSCHOLARPAGE
Yonglin Tian,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yongping Zhang,Beihang University,,NOSCHOLARPAGE
Yongren Shi,University of Iowa,,NOSCHOLARPAGE
Yongshuai Liu,UESTC,,NOSCHOLARPAGE
Yongxia Sun,Hunan University,,NOSCHOLARPAGE
Yongzhong He,Beijing Jiaotong University,,NOSCHOLARPAGE
Yoram M. Kalman,Open University,,NOSCHOLARPAGE
Yoshi Fujiwara,University of Hyogo,,NOSCHOLARPAGE
Yoshihisa Kashima,University of Melbourne,,NOSCHOLARPAGE
Yoshiyuki Arata,Research Institute of Economy,,NOSCHOLARPAGE
Yothin Sawangdee,Mahidol University,,NOSCHOLARPAGE
Youdinghuan Chen,Dartmouth College,,NOSCHOLARPAGE
Youyang Qu,Deakin University,,NOSCHOLARPAGE
Yu Gu 0003,Hefei University of Technology,,NOSCHOLARPAGE
Yu Luo 0003,University of Delaware,,NOSCHOLARPAGE
Yu Xiao 0001,Aalto University,,NOSCHOLARPAGE
Yu-Dang Wei,Renmin University of China,,NOSCHOLARPAGE
Yu-Fang Chiu,National Chiao Tung University,,NOSCHOLARPAGE
Yu-Hsien Peng,National Tsing Hua University,,NOSCHOLARPAGE
Yuan Hsiao,University of Washington,,NOSCHOLARPAGE
Yuan Liu 0002,Northeastern University,,NOSCHOLARPAGE
Yuan Yuan 0012,Guilin University of Electronic Technology,,NOSCHOLARPAGE
Yuan Zhang 0006,UESTC,,NOSCHOLARPAGE
Yuanzhuo Wang,Chinese Academy of Sciences,,NOSCHOLARPAGE
Yubao Wu,Georgia State University,,NOSCHOLARPAGE
Yubo Jia,Zhejiang Sci-Tech University,,NOSCHOLARPAGE
Yubo Kou,Florida State University,,NOSCHOLARPAGE
Yuchen Sun,Dalian University of Technology,,NOSCHOLARPAGE
Yucheng Dong,Sichuan University,,NOSCHOLARPAGE
Yue-Jiao Gong,South China University of Technology,,NOSCHOLARPAGE
Yuehu Liu,Xi'an Jiaotong University,,NOSCHOLARPAGE
Yuejin Tan,National University of Defense Technology,,NOSCHOLARPAGE
Yufang Wang,Tianjin University,,NOSCHOLARPAGE
Yufeng Wang 0001,Nanjing University,,NOSCHOLARPAGE
Yufeng Yao,University of the West of England,,NOSCHOLARPAGE
Yuguo Chen,University of Illinois at Urbana-Champaign,,NOSCHOLARPAGE
Yuhan Chai,Guangzhou University,,NOSCHOLARPAGE
Yuhang Jiao 0001,Central University of Finance and Economics,,NOSCHOLARPAGE
Yuhua Li 0003,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Yuki Yasuda,University of Tokyo,,NOSCHOLARPAGE
Yulei Wu,University of Exeter,,NOSCHOLARPAGE
Yun Feng,City University of Hong Kong,,NOSCHOLARPAGE
Yun Huang 0001,Northwestern University,,NOSCHOLARPAGE
Yun Huang 0003,Syracuse University,,NOSCHOLARPAGE
Yun Xiang,Zhejiang University,,NOSCHOLARPAGE
Yun Xin,Zhejiang Normal University,,NOSCHOLARPAGE
Yung-Yin Lo,National Taiwan University,,NOSCHOLARPAGE
Yunhe Feng,University of Tennessee,,NOSCHOLARPAGE
Yunpeng Xiao,Chongqing University,,NOSCHOLARPAGE
Yunpeng Zhao,George Mason University,,NOSCHOLARPAGE
Yunsong Chen,Nanjing University,,NOSCHOLARPAGE
Yunzhong Liu,Arizona State University,,NOSCHOLARPAGE
Yuping Zhang,Shanghai Normal University,,NOSCHOLARPAGE
Yuqi Fan,Hefei University of Technology,,NOSCHOLARPAGE
Yuqing Mao,Nanjing University,,NOSCHOLARPAGE
Yuqing Sun,Shandong University,,NOSCHOLARPAGE
Yuqing Zhu 0002,California State University at Los Angeles,,NOSCHOLARPAGE
Yuri Kalnysh,Ukrainian Academy of Public Service,,NOSCHOLARPAGE
Yuri Takhteyev,University of Toronto,,NOSCHOLARPAGE
Yutong Li,Huazhong University of Science and Technology,,NOSCHOLARPAGE
Yuval Elovici,Ben-Gurion University of the Negev,,NOSCHOLARPAGE
Yuval Kalish,The Hebrew University,,NOSCHOLARPAGE
Yuyu Yin,Hangzhou Dianzi University,,NOSCHOLARPAGE
Yves Zenou,Stockholm University,,NOSCHOLARPAGE
