alias,name
Abdur Rahim Mohammad Forkan,Abdur Forkan
Aboul Ella Otifey Hassanien,Aboul Ella Hassanien
Aboul Ella Otifey Hassaanien,Aboul Ella Hassanien
Aboul Ella Hassenian,Aboul Ella Hassanien
Abul Ella Hassenian,Aboul Ella Hassanien
Adriana Santarosa Vivacqua,Adriana S. Vivacqua
Alexa Doboli,Alex Doboli
Alex 'Sandy' Pentland,Alex Pentland
Sandy Pentland,Alex Pentland
Alfredo Jose Morales,Alfredo Morales-Guzmán
Alun David Preece,Alun D. Preece
Antonio Luca Alfeo,Antonio L. Alfeo
AtaUllah Ghafoor,Ata Ullah
Austin L. Toombs,Austin Toombs
Thirunavukarasu Balasubramaniam,Balasubramaniam Thirunavukarasu
Ben Cowley,Benjamin Cowley 0001
Benjamin Ultan Cowley,Benjamin Cowley 0001
Bernard Jim Jansen,Bernard J. Jansen
Carol X. J. Ou,Carol Xiaojuan Ou
Carol Ou,Carol Xiaojuan Ou
Carter Tribley Butts,Carter T. Butts
Catholijntje M. Jonker,Catholijn M. Jonker
Chaitanya Shivade,Chaitanya P. Shivade
Chelsea Cooke White III,Chelsea C. White III
Chengzhong Xu 0001,Cheng-Zhong Xu 0001
Cheng-wen Luo 0001,Chengwen Luo 0001
Cherie Bakker Noteboom,Cherie Noteboom
Harold Liu,Chi Harold Liu
Chris Lintott,Chris J. Lintott
Chris W. Muelder,Chris Muelder
Christopher Muelder,Chris Muelder
Christian E. G. Steglich,Christian Steglich
Christopher McCarthy,Christopher McCarty
Chris Phethean,Christopher Phethean
Christopher Marcum,Christopher Steven Marcum
Conrado Miguel Manuel,Conrado Manuel
Damian Andrew Tamburri,Damian A. Tamburri
Damien A. Tamburri,Damian A. Tamburri
Daniel Zeng,Daniel Dajun Zeng
David Smith 0001,David B. Smith 0001
Davide Vega D'Aurelio,Davide Vega
Denis Gračanin,Denis Gracanin
Donagh P. Berry,Donagh Berry
Doug Steinley,Douglas L. Steinley
Du Huynh,Du Q. Huynh
Dusit Tao Niyato,Dusit Niyato
Elena Paslaru Bontas,Elena Paslaru Bontas Simperl
Elena Simperl,Elena Paslaru Bontas Simperl
Eric Joel Horvitz,Eric Horvitz
Eugene Santos,Eugene Santos Jr.
Fatima Abu Salem,Fatima K. Abu Salem
Feiyue Wang 0001,Fei-Yue Wang 0001
F. Bill Shi,Feng Shi 0005
Garry L. Robins,Garry Robins
Garud N. Iyengar,Garud Iyengar
George V. Cybenko,George Cybenko
Gerardo Ignacio Simari,Gerardo I. Simari
Giulio Iacucci,Giulio Jacucci
Frits van Merode,Godefridus G. van Merode
Guangmo Amo Tong,Guangmo Tong
Harold Vincent Poor,H. Vincent Poor
Hai-Feng Zhang 0003,Haifeng Zhang 0003
Hendry Hendry,Hendry
Hong-Ning Dai,Hongning Dai
David Hongwei Du,Hongwei Du 0001
Hywel Thomas Parker Williams,Hywel T. P. Williams
James Allen Evans,James A. Evans
Jim Hendler,James A. Hendler
Jesse C. Shore,Jesse Shore
Jian-Feng Ma 0001,Jianfeng Ma 0001
Jian Feng Ma 0001,Jianfeng Ma 0001
Jian-qiang Li 0001,Jianqiang Li 0001
Jian-Qiang Li 0001,Jianqiang Li 0001
Jia-Wei Chen,Jiawei Chen
Ji-ming Chen 0001,Jiming Chen 0001
Ji-Ming Chen 0001,Jiming Chen 0001
John Chi-Shing Lui,John C. S. Lui
John Paul Boyd,John P. Boyd 0002
Jonathan Howard Morgan,Jonathan H. Morgan
