"name","dept","area","count","adjustedcount","year"
Aayush Aggarwal,Indraprastha Institute of Information Technology,iros,1.0,0.25,2020
Aayush Aggarwal,Indraprastha Institute of Information Technology,tcss,1.0,0.33333,2020
Abdallah Tubaishat,Zayed University,tcss,1.0,0.125,2021
Abdel-Fattah Attia,Kafrelsheikh University,tcss,1.0,0.25,2020
Abderrahim Benslimane,Université d'Avignon et des Pays de Vaucluse,hpdc,1.0,1.0,1994
Abdur Forkan,Swinburne University of Technology,tsc,1.0,0.25,2020
Abhijit Majumdar,Indian Institute of Technology Delhi,tcss,1.0,0.16667,2020
Aboul Ella Hassanien,Cairo University,tcss,1.0,0.25,2020
Adriana Iamnitchi,University of South Florida,hpdc,1.0,0.5,2005
Adriana Iamnitchi,University of South Florida,hpdc,1.0,0.33333,2006
Adriana Iamnitchi,University of South Florida,hpdc,1.0,0.5,2008
Adriana Iamnitchi,University of South Florida,mobicom,1.0,0.2,2013
Adriana Iamnitchi,University of South Florida,sc,1.0,0.076923,2002
Adriana Iamnitchi,University of South Florida,sc,1.0,0.16667,2006
Adriana Iamnitchi,University of South Florida,tcss,1.0,0.25,2019
Adriana Iamnitchi,University of South Florida,www,1.0,0.14286,2012
Adriana Iamnitchi,University of South Florida,www,1.0,0.2,2015
Adriana S. Vivacqua,Federal University of Rio de Janeiro,aaai,1.0,0.5,1997
Adriana S. Vivacqua,Federal University of Rio de Janeiro,chiconf,1.0,0.5,2000
Ahmed Al Marouf,Daffodil International University,tcss,1.0,0.33333,2020
Ahsan Shehzad,Air University,tcss,1.0,0.16667,2021
Aixin Sun,Nanyang Technological University,aaai,1.0,0.25,2015
Aixin Sun,Nanyang Technological University,aaai,1.0,0.2,2020
Aixin Sun,Nanyang Technological University,aaai,1.0,0.25,2021
Aixin Sun,Nanyang Technological University,acl,1.0,0.33333,2017
Aixin Sun,Nanyang Technological University,acl,2.0,0.66667,2019
Aixin Sun,Nanyang Technological University,acl,1.0,0.25,2020
Aixin Sun,Nanyang Technological University,ec,1.0,0.14286,2008
Aixin Sun,Nanyang Technological University,emnlp,1.0,0.25,2019
Aixin Sun,Nanyang Technological University,icde,1.0,0.2,2016
Aixin Sun,Nanyang Technological University,icde,1.0,0.2,2020
Aixin Sun,Nanyang Technological University,ijcai,1.0,0.25,2015
